204664	204723	204781	204840	204899	204957	205016	205075	205133	205192	205251	205309	205368	205427	205485	205544	205603	205661	205720	205779	205837	205896	205955	206013	206072	206131	206189	206248	206307	206365	206424	206483	206541	206600	206659	206717	206776	206835	206893	206952	207011	207069	207128	207187	207245	207304	207363	207421	207480	207539	207597	207656	207715	207773	207832	207891	207949	208008	208067	208125	208184	208243	208301	208360	208419	208477	208536	208595	208653	208712	208771	208829	208888	208947	209005	209064	209123	209181	209240	209299	209357	209416	209475	209533	209592	209651	209709	209768	209827	209885	209944	210003	210061	210120	210179	210237	210296	210355	210413	210472

-------------------------------------------------------------------
2.33962E-3	2.32528E-3	2.30587E-3	2.33294E-3	2.34026E-3	2.36333E-3	2.41269E-3	2.46802E-3	2.46759E-3	2.49789E-3	2.50717E-3	2.56975E-3	2.61702E-3	2.66712E-3	2.73216E-3	2.76026E-3	2.81790E-3	2.90319E-3	2.96019E-3	2.99416E-3	3.05517E-3	3.16022E-3	3.24341E-3	3.29759E-3	3.38112E-3	3.43709E-3	3.56058E-3	3.66404E-3	3.76609E-3	3.85783E-3	4.00215E-3	4.12827E-3	4.28450E-3	4.42673E-3	4.52250E-3	4.65576E-3	4.87213E-3	4.94433E-3	5.04622E-3	5.18179E-3	5.29904E-3	5.42692E-3	5.47228E-3	5.49870E-3	5.54412E-3	5.55189E-3	5.54604E-3	5.57639E-3	5.52634E-3	5.51030E-3	5.45663E-3	5.49550E-3	5.39533E-3	5.30601E-3	5.21290E-3	5.10188E-3	4.98745E-3	4.87728E-3	4.76801E-3	4.68938E-3	4.61291E-3	4.51498E-3	4.37740E-3	4.26760E-3	4.16610E-3	4.04363E-3	3.92706E-3	3.88853E-3	3.72664E-3	3.66126E-3	3.48982E-3	3.38900E-3	3.32405E-3	3.20895E-3	3.12675E-3	3.04848E-3	2.94418E-3	2.87268E-3	2.80670E-3	2.73843E-3	2.66311E-3	2.61288E-3	2.57308E-3	2.49168E-3	2.44285E-3	2.37156E-3	2.34653E-3	2.29375E-3	2.23768E-3	2.19762E-3	2.16619E-3	2.13355E-3	2.07545E-3	2.05069E-3	2.02570E-3	2.01400E-3	1.93987E-3	1.91643E-3	1.90908E-3	1.86892E-3
2.36414E-3	2.35479E-3	2.38045E-3	2.36056E-3	2.38237E-3	2.40393E-3	2.45059E-3	2.45379E-3	2.50956E-3	2.54082E-3	2.55683E-3	2.59929E-3	2.64987E-3	2.68816E-3	2.76329E-3	2.80027E-3	2.85675E-3	2.91094E-3	2.98526E-3	3.04242E-3	3.12594E-3	3.18727E-3	3.30165E-3	3.37811E-3	3.47643E-3	3.56254E-3	3.65786E-3	3.76193E-3	3.86937E-3	3.98714E-3	4.13941E-3	4.26942E-3	4.39589E-3	4.56461E-3	4.69147E-3	4.83915E-3	5.02462E-3	5.15224E-3	5.30706E-3	5.46340E-3	5.63127E-3	5.74496E-3	5.83149E-3	5.87564E-3	5.90526E-3	5.86234E-3	5.91549E-3	5.86776E-3	5.85829E-3	5.82084E-3	5.77205E-3	5.73975E-3	5.66703E-3	5.58662E-3	5.53281E-3	5.37526E-3	5.24496E-3	5.14001E-3	5.02102E-3	4.90372E-3	4.78287E-3	4.65641E-3	4.51763E-3	4.37534E-3	4.24468E-3	4.12000E-3	4.04530E-3	3.88889E-3	3.77320E-3	3.68366E-3	3.54830E-3	3.47099E-3	3.34398E-3	3.27049E-3	3.15277E-3	3.06519E-3	3.00816E-3	2.95150E-3	2.88604E-3	2.79547E-3	2.73095E-3	2.64083E-3	2.60189E-3	2.52286E-3	2.46374E-3	2.40969E-3	2.36615E-3	2.32206E-3	2.27166E-3	2.24929E-3	2.20099E-3	2.14646E-3	2.11959E-3	2.06871E-3	2.03126E-3	2.00939E-3	1.97275E-3	1.96204E-3	1.91730E-3	1.88661E-3
2.34448E-3	2.34543E-3	2.33973E-3	2.37895E-3	2.39476E-3	2.43159E-3	2.47498E-3	2.51310E-3	2.52314E-3	2.56492E-3	2.60966E-3	2.66125E-3	2.70615E-3	2.74595E-3	2.78490E-3	2.86191E-3	2.92179E-3	2.97376E-3	3.05291E-3	3.12129E-3	3.21799E-3	3.28837E-3	3.35611E-3	3.45089E-3	3.53984E-3	3.67621E-3	3.75509E-3	3.87017E-3	4.01306E-3	4.11438E-3	4.27477E-3	4.42357E-3	4.57051E-3	4.72880E-3	4.91694E-3	5.09648E-3	5.29273E-3	5.48619E-3	5.63997E-3	5.83240E-3	6.00482E-3	6.14906E-3	6.29298E-3	6.35640E-3	6.41835E-3	6.41593E-3	6.40527E-3	6.36200E-3	6.34462E-3	6.30050E-3	6.23793E-3	6.17085E-3	6.12213E-3	6.02962E-3	5.91185E-3	5.79495E-3	5.60107E-3	5.46999E-3	5.31849E-3	5.17191E-3	5.01007E-3	4.86270E-3	4.76202E-3	4.62975E-3	4.53752E-3	4.35442E-3	4.25135E-3	4.08087E-3	3.96590E-3	3.83123E-3	3.71234E-3	3.57250E-3	3.47549E-3	3.36861E-3	3.26900E-3	3.17802E-3	3.07796E-3	3.00365E-3	2.95838E-3	2.86447E-3	2.77661E-3	2.70938E-3	2.66475E-3	2.61679E-3	2.53176E-3	2.46084E-3	2.41092E-3	2.38466E-3	2.31877E-3	2.26218E-3	2.21623E-3	2.20137E-3	2.12885E-3	2.10606E-3	2.07085E-3	2.03252E-3	1.99757E-3	1.98053E-3	1.92522E-3	1.94212E-3
2.38692E-3	2.40859E-3	2.40212E-3	2.40310E-3	2.42272E-3	2.47914E-3	2.50190E-3	2.53724E-3	2.55488E-3	2.60270E-3	2.66255E-3	2.68297E-3	2.73046E-3	2.76635E-3	2.82753E-3	2.90468E-3	2.97611E-3	3.04226E-3	3.09787E-3	3.19798E-3	3.27858E-3	3.37672E-3	3.44945E-3	3.55338E-3	3.64704E-3	3.72776E-3	3.84971E-3	3.98479E-3	4.06959E-3	4.24524E-3	4.40603E-3	4.56793E-3	4.75767E-3	4.92598E-3	5.07801E-3	5.28095E-3	5.48409E-3	5.69194E-3	5.89986E-3	6.14718E-3	6.37841E-3	6.55429E-3	6.70985E-3	6.83399E-3	6.90060E-3	6.94749E-3	6.94607E-3	6.89764E-3	6.81818E-3	6.75486E-3	6.67118E-3	6.58264E-3	6.46229E-3	6.36601E-3	6.21395E-3	6.02066E-3	5.83665E-3	5.72315E-3	5.62640E-3	5.46163E-3	5.28199E-3	5.13183E-3	4.92539E-3	4.77025E-3	4.64178E-3	4.46398E-3	4.30056E-3	4.17428E-3	4.07015E-3	3.89385E-3	3.78294E-3	3.64885E-3	3.51726E-3	3.40400E-3	3.31341E-3	3.22975E-3	3.13830E-3	3.04912E-3	2.97353E-3	2.90976E-3	2.80943E-3	2.74837E-3	2.69371E-3	2.59184E-3	2.53910E-3	2.47990E-3	2.45049E-3	2.39760E-3	2.34028E-3	2.29494E-3	2.26309E-3	2.21647E-3	2.15764E-3	2.14335E-3	2.10862E-3	2.04801E-3	2.03667E-3	1.98315E-3	1.95286E-3	1.91826E-3
2.44662E-3	2.43248E-3	2.42849E-3	2.43750E-3	2.48863E-3	2.49364E-3	2.53672E-3	2.56485E-3	2.57474E-3	2.64595E-3	2.68291E-3	2.72444E-3	2.76589E-3	2.81194E-3	2.91262E-3	2.94193E-3	3.00933E-3	3.09574E-3	3.15378E-3	3.24206E-3	3.34140E-3	3.42376E-3	3.50077E-3	3.61524E-3	3.69898E-3	3.81737E-3	3.92495E-3	4.06624E-3	4.18967E-3	4.33408E-3	4.50037E-3	4.66163E-3	4.84591E-3	5.02943E-3	5.19284E-3	5.40983E-3	5.65413E-3	5.86274E-3	6.07114E-3	6.33775E-3	6.67505E-3	6.96198E-3	7.23427E-3	7.45166E-3	7.60591E-3	7.46522E-3	7.42218E-3	7.37402E-3	7.30440E-3	7.22194E-3	7.09429E-3	6.99633E-3	6.85309E-3	6.75794E-3	6.57799E-3	6.38252E-3	6.20514E-3	6.03371E-3	5.87218E-3	5.66207E-3	5.48048E-3	5.29866E-3	5.07888E-3	4.91180E-3	4.76423E-3	4.56234E-3	4.42598E-3	4.25221E-3	4.10742E-3	3.99207E-3	3.84519E-3	3.72193E-3	3.59480E-3	3.48451E-3	3.39549E-3	3.30139E-3	3.20637E-3	3.11326E-3	3.01841E-3	2.93309E-3	2.87570E-3	2.80508E-3	2.74811E-3	2.68373E-3	2.61210E-3	2.57302E-3	2.51658E-3	2.43188E-3	2.37615E-3	2.33698E-3	2.28914E-3	2.26346E-3	2.21988E-3	2.16023E-3	2.13207E-3	2.10647E-3	2.05055E-3	2.02059E-3	2.01312E-3	1.98220E-3
2.41150E-3	2.40865E-3	2.46225E-3	2.47009E-3	2.49210E-3	2.50319E-3	2.52647E-3	2.58398E-3	2.62333E-3	2.67404E-3	2.70290E-3	2.74840E-3	2.80540E-3	2.87616E-3	2.91567E-3	2.95950E-3	3.06452E-3	3.13680E-3	3.20330E-3	3.29556E-3	3.37454E-3	3.47187E-3	3.54834E-3	3.67134E-3	3.78483E-3	3.91416E-3	4.02591E-3	4.14976E-3	4.28804E-3	4.46129E-3	4.61866E-3	4.78196E-3	4.97266E-3	5.16163E-3	5.33366E-3	5.54062E-3	5.77887E-3	6.03398E-3	6.27303E-3	6.55887E-3	6.86529E-3	7.18565E-3	7.52827E-3	7.76092E-3	7.93346E-3	7.85260E-3	7.85245E-3	7.77820E-3	7.72972E-3	7.65672E-3	7.48620E-3	7.37979E-3	7.22185E-3	7.08069E-3	6.89056E-3	6.63130E-3	6.42313E-3	6.29989E-3	6.09236E-3	5.84484E-3	5.64277E-3	5.47431E-3	5.25468E-3	5.05500E-3	4.88362E-3	4.71202E-3	4.51911E-3	4.36247E-3	4.18336E-3	4.02618E-3	3.89769E-3	3.77409E-3	3.66315E-3	3.54332E-3	3.41390E-3	3.32719E-3	3.23298E-3	3.12719E-3	3.06800E-3	2.99514E-3	2.91405E-3	2.82548E-3	2.77195E-3	2.69627E-3	2.64097E-3	2.56942E-3	2.50171E-3	2.44418E-3	2.40836E-3	2.36477E-3	2.32190E-3	2.27668E-3	2.21554E-3	2.21246E-3	2.06546E-3	2.10117E-3	2.09758E-3	2.06006E-3	2.01699E-3	1.99221E-3
2.46083E-3	2.44674E-3	2.46018E-3	2.46863E-3	2.49778E-3	2.53200E-3	2.57204E-3	2.61464E-3	2.66570E-3	2.70238E-3	2.72590E-3	2.78206E-3	2.83715E-3	2.92867E-3	2.97352E-3	3.02736E-3	3.08369E-3	3.17635E-3	3.25547E-3	3.33196E-3	3.42695E-3	3.52805E-3	3.61378E-3	3.75526E-3	3.85102E-3	3.99008E-3	4.09450E-3	4.24981E-3	4.38614E-3	4.54616E-3	4.72619E-3	4.90789E-3	5.08766E-3	5.31273E-3	5.48056E-3	5.72739E-3	5.97147E-3	6.21496E-3	6.49789E-3	6.82298E-3	7.12619E-3	7.49595E-3	7.83302E-3	8.08100E-3	8.27368E-3	8.21560E-3	8.25076E-3	8.13792E-3	8.10509E-3	8.00612E-3	7.84730E-3	7.69604E-3	7.53980E-3	7.35126E-3	7.12585E-3	6.90115E-3	6.63625E-3	6.45698E-3	6.28130E-3	6.01922E-3	5.76272E-3	5.56685E-3	5.39931E-3	5.17602E-3	4.98173E-3	4.77359E-3	4.65828E-3	4.46203E-3	4.26555E-3	4.10983E-3	3.98650E-3	3.87197E-3	3.70930E-3	3.58979E-3	3.48615E-3	3.37349E-3	3.26421E-3	3.19498E-3	3.14787E-3	3.04735E-3	2.99382E-3	2.89224E-3	2.81891E-3	2.71179E-3	2.64743E-3	2.56536E-3	2.52783E-3	2.48797E-3	2.41678E-3	2.38226E-3	2.34470E-3	2.30177E-3	2.24767E-3	2.20965E-3	2.16720E-3	2.11354E-3	2.09081E-3	2.09389E-3	2.03562E-3	2.01882E-3
2.51454E-3	2.47809E-3	2.49071E-3	2.52955E-3	2.55396E-3	2.57763E-3	2.60574E-3	2.65576E-3	2.69302E-3	2.73668E-3	2.78352E-3	2.83905E-3	2.85188E-3	2.91952E-3	2.99902E-3	3.07439E-3	3.13635E-3	3.21759E-3	3.29760E-3	3.37702E-3	3.47959E-3	3.56628E-3	3.70889E-3	3.78236E-3	3.90863E-3	4.02234E-3	4.13783E-3	4.29247E-3	4.49313E-3	4.65519E-3	4.81886E-3	4.99214E-3	5.18963E-3	5.40323E-3	5.57786E-3	5.82715E-3	6.12041E-3	6.39879E-3	6.68369E-3	6.95533E-3	7.33138E-3	7.67489E-3	8.01400E-3	8.35316E-3	8.48052E-3	8.46786E-3	8.51865E-3	8.42385E-3	8.36349E-3	8.29130E-3	8.13532E-3	7.98836E-3	7.79424E-3	7.59326E-3	7.38705E-3	7.17925E-3	6.84766E-3	6.62582E-3	6.41638E-3	6.15480E-3	5.90502E-3	5.68746E-3	5.47702E-3	5.23716E-3	5.07553E-3	4.86702E-3	4.68844E-3	4.49439E-3	4.32591E-3	4.17914E-3	4.01918E-3	3.86458E-3	3.75305E-3	3.64323E-3	3.51740E-3	3.42611E-3	3.33223E-3	3.24819E-3	3.14268E-3	3.05331E-3	2.96145E-3	2.91472E-3	2.81573E-3	2.74599E-3	2.65246E-3	2.59396E-3	2.55174E-3	2.48766E-3	2.44238E-3	2.39127E-3	2.33203E-3	2.28599E-3	2.25733E-3	2.21054E-3	2.20306E-3	2.14458E-3	2.09806E-3	2.06032E-3	2.05463E-3	2.03163E-3
2.46699E-3	2.49056E-3	2.47365E-3	2.51595E-3	2.53371E-3	2.57853E-3	2.61109E-3	2.64242E-3	2.69625E-3	2.74629E-3	2.77102E-3	2.82966E-3	2.86235E-3	2.93868E-3	3.00631E-3	3.09716E-3	3.16576E-3	3.22583E-3	3.31733E-3	3.41352E-3	3.49119E-3	3.59459E-3	3.73681E-3	3.85032E-3	3.96023E-3	4.07645E-3	4.22347E-3	4.39748E-3	4.54155E-3	4.70973E-3	4.87985E-3	5.05465E-3	5.26550E-3	5.44262E-3	5.69410E-3	5.96217E-3	6.24046E-3	6.52112E-3	6.79434E-3	7.12069E-3	7.51813E-3	7.99423E-3	8.23452E-3	8.56747E-3	8.74936E-3	8.78599E-3	8.80316E-3	8.70666E-3	8.68169E-3	8.58108E-3	8.39596E-3	8.25104E-3	8.06149E-3	7.84526E-3	7.58820E-3	7.31387E-3	7.01690E-3	6.79321E-3	6.56397E-3	6.27718E-3	6.04270E-3	5.79792E-3	5.55520E-3	5.37241E-3	5.16522E-3	4.93430E-3	4.76419E-3	4.56012E-3	4.39281E-3	4.25096E-3	4.09630E-3	3.97586E-3	3.83191E-3	3.67479E-3	3.58181E-3	3.48875E-3	3.52829E-3	3.24253E-3	3.16706E-3	3.09894E-3	2.99528E-3	2.94014E-3	2.83653E-3	2.76551E-3	2.68663E-3	2.65115E-3	2.59025E-3	2.52449E-3	2.47386E-3	2.44008E-3	2.37269E-3	2.34175E-3	2.28486E-3	2.24984E-3	2.20897E-3	2.16472E-3	2.11746E-3	2.09082E-3	2.05485E-3	2.05467E-3
2.46729E-3	2.47353E-3	2.49904E-3	2.52290E-3	2.54695E-3	2.58885E-3	2.62779E-3	2.66771E-3	2.70713E-3	2.74528E-3	2.84294E-3	2.84994E-3	2.93074E-3	2.99372E-3	3.03153E-3	3.11972E-3	3.20405E-3	3.28436E-3	3.39080E-3	3.49973E-3	3.56452E-3	3.65914E-3	3.77168E-3	3.90028E-3	4.01859E-3	4.12783E-3	4.28542E-3	4.43792E-3	4.61200E-3	4.78119E-3	4.95929E-3	5.17344E-3	5.36053E-3	5.57138E-3	5.82187E-3	6.06103E-3	6.35474E-3	6.65505E-3	6.95445E-3	7.29167E-3	7.67080E-3	8.04916E-3	8.42201E-3	8.75095E-3	8.96075E-3	8.96525E-3	9.00771E-3	8.96524E-3	8.89645E-3	8.83293E-3	8.65275E-3	8.48280E-3	8.28637E-3	8.05713E-3	7.79303E-3	7.49389E-3	7.16919E-3	6.93126E-3	6.68300E-3	6.46782E-3	6.14913E-3	5.89553E-3	5.66852E-3	5.44703E-3	5.24104E-3	5.01784E-3	4.83658E-3	4.64982E-3	4.49413E-3	4.32420E-3	4.16357E-3	4.00285E-3	3.88176E-3	3.72853E-3	3.63532E-3	3.52351E-3	3.40689E-3	3.31123E-3	3.21950E-3	3.15281E-3	3.05366E-3	2.97383E-3	2.87563E-3	2.79338E-3	2.72274E-3	2.68205E-3	2.61314E-3	2.55414E-3	2.50225E-3	2.42037E-3	2.40560E-3	2.34995E-3	2.30723E-3	2.26102E-3	2.25714E-3	2.17311E-3	2.13986E-3	2.10280E-3	2.08002E-3	2.03582E-3
