204664	204723	204781	204840	204899	204957	205016	205075	205133	205192	205251	205309	205368	205427	205485	205544	205603	205661	205720	205779	205837	205896	205955	206013	206072	206131	206189	206248	206307	206365	206424	206483	206541	206600	206659	206717	206776	206835	206893	206952	207011	207069	207128	207187	207245	207304	207363	207421	207480	207539	207597	207656	207715	207773	207832	207891	207949	208008	208067	208125	208184	208243	208301	208360	208419	208477	208536	208595	208653	208712	208771	208829	208888	208947	209005	209064	209123	209181	209240	209299	209357	209416	209475	209533	209592	209651	209709	209768	209827	209885	209944	210003	210061	210120	210179	210237	210296	210355	210413	210472

-------------------------------------------------------------------
2.52804E-3	2.50788E-3	2.56994E-3	2.55460E-3	2.60246E-3	2.62972E-3	2.65189E-3	2.70579E-3	2.71891E-3	2.81187E-3	2.83794E-3	2.89598E-3	2.92561E-3	3.03322E-3	3.06330E-3	3.18346E-3	3.22558E-3	3.31236E-3	3.40105E-3	3.51330E-3	3.60325E-3	3.73861E-3	3.83445E-3	3.97969E-3	4.07338E-3	4.21269E-3	4.34514E-3	4.51965E-3	4.68812E-3	4.88026E-3	5.05357E-3	5.25506E-3	5.45452E-3	5.66988E-3	5.89412E-3	6.20454E-3	6.46816E-3	6.75168E-3	7.10297E-3	7.42264E-3	7.84844E-3	8.25584E-3	8.63558E-3	8.95743E-3	9.16449E-3	9.17118E-3	9.19328E-3	9.16442E-3	9.12661E-3	8.98822E-3	8.84328E-3	8.66072E-3	8.44480E-3	8.22938E-3	7.94574E-3	7.60621E-3	7.32564E-3	7.11898E-3	6.82273E-3	6.53532E-3	6.26979E-3	6.01257E-3	5.75940E-3	5.52713E-3	5.32669E-3	5.08399E-3	4.90723E-3	4.69775E-3	4.52688E-3	4.36026E-3	4.20358E-3	4.02812E-3	3.93143E-3	3.78943E-3	3.65297E-3	3.54632E-3	3.42420E-3	3.34456E-3	3.22930E-3	3.14528E-3	3.12210E-3	2.98148E-3	2.89073E-3	2.81629E-3	2.74226E-3	2.67027E-3	2.60473E-3	2.55742E-3	2.51492E-3	2.47729E-3	2.43072E-3	2.37029E-3	2.32312E-3	2.28243E-3	2.24070E-3	2.17837E-3	2.13712E-3	2.12354E-3	2.09608E-3	2.05273E-3
2.48653E-3	2.50549E-3	2.51151E-3	2.55696E-3	2.56863E-3	2.60334E-3	2.66153E-3	2.69269E-3	2.75732E-3	2.79840E-3	2.85015E-3	2.90037E-3	2.97053E-3	3.03424E-3	3.11019E-3	3.17051E-3	3.24330E-3	3.34867E-3	3.43076E-3	3.52791E-3	3.64021E-3	3.76290E-3	3.87780E-3	3.98148E-3	4.11067E-3	4.26543E-3	4.39087E-3	4.58195E-3	4.74627E-3	4.93825E-3	5.14625E-3	5.33634E-3	5.51569E-3	5.75516E-3	6.00771E-3	6.29662E-3	6.55802E-3	6.87504E-3	7.22510E-3	7.57375E-3	7.97718E-3	8.38841E-3	8.81853E-3	9.13005E-3	9.30041E-3	9.38215E-3	9.40410E-3	9.34237E-3	9.31210E-3	9.18342E-3	9.02995E-3	8.85107E-3	8.62495E-3	8.39686E-3	8.10428E-3	7.76498E-3	7.47636E-3	7.24440E-3	6.95306E-3	6.67474E-3	6.37164E-3	6.09136E-3	5.85212E-3	5.64814E-3	5.38932E-3	5.17324E-3	4.98000E-3	4.75539E-3	4.58624E-3	4.42295E-3	4.25718E-3	4.09063E-3	3.94387E-3	3.84173E-3	3.69438E-3	3.61749E-3	3.49505E-3	3.37424E-3	3.28685E-3	3.19488E-3	3.09045E-3	3.00533E-3	2.93511E-3	2.85107E-3	2.79715E-3	2.70680E-3	2.65288E-3	2.57675E-3	2.54371E-3	2.48090E-3	2.42625E-3	2.38228E-3	2.35556E-3	2.31490E-3	2.24863E-3	2.22041E-3	2.17313E-3	2.13089E-3	2.10349E-3	2.07543E-3
2.56119E-3	2.55107E-3	2.56643E-3	2.58994E-3	2.61375E-3	2.63296E-3	2.67956E-3	2.74855E-3	2.78428E-3	2.80452E-3	2.87493E-3	2.92842E-3	3.00562E-3	3.06753E-3	3.11867E-3	3.20959E-3	3.28040E-3	3.37895E-3	3.45520E-3	3.56592E-3	3.68320E-3	3.79637E-3	3.91736E-3	4.03509E-3	4.20004E-3	4.35300E-3	4.47681E-3	4.63216E-3	4.78558E-3	4.99090E-3	5.18091E-3	5.40105E-3	5.61249E-3	5.83937E-3	6.10457E-3	6.34829E-3	6.69741E-3	6.97252E-3	7.32099E-3	7.67920E-3	8.10490E-3	8.53394E-3	8.96268E-3	9.32076E-3	9.47027E-3	9.49299E-3	9.55328E-3	9.49659E-3	9.42911E-3	9.41857E-3	9.17934E-3	8.97337E-3	8.78087E-3	8.50716E-3	8.21881E-3	7.88887E-3	7.57534E-3	7.32191E-3	7.05886E-3	6.72800E-3	6.43744E-3	6.20197E-3	5.94244E-3	5.68234E-3	5.45640E-3	5.21638E-3	5.01646E-3	4.81037E-3	4.60404E-3	4.43597E-3	4.28030E-3	4.11535E-3	3.98166E-3	3.84992E-3	3.72972E-3	3.62364E-3	3.51342E-3	3.40253E-3	3.29540E-3	3.21657E-3	3.10960E-3	3.02785E-3	2.93504E-3	2.86327E-3	2.79446E-3	2.72965E-3	2.66859E-3	2.60231E-3	2.54588E-3	2.49635E-3	2.46205E-3	2.41169E-3	2.35446E-3	2.31280E-3	2.26232E-3	2.24132E-3	2.18055E-3	2.17738E-3	2.13686E-3	2.10164E-3
2.56092E-3	2.55319E-3	2.58146E-3	2.60120E-3	2.62501E-3	2.67349E-3	2.71710E-3	2.77014E-3	2.79999E-3	2.84824E-3	2.89864E-3	2.93642E-3	3.02849E-3	3.08709E-3	3.17131E-3	3.27419E-3	3.30939E-3	3.41144E-3	3.51333E-3	3.61381E-3	3.72347E-3	3.88330E-3	3.98875E-3	4.10015E-3	4.23977E-3	4.37018E-3	4.55181E-3	4.71032E-3	4.88386E-3	5.05824E-3	5.27582E-3	5.46687E-3	5.72649E-3	5.95664E-3	6.16428E-3	6.47822E-3	6.80405E-3	7.09058E-3	7.43961E-3	7.83734E-3	8.28942E-3	8.70439E-3	9.12843E-3	9.46374E-3	9.62531E-3	9.60639E-3	9.64913E-3	9.62169E-3	9.59974E-3	9.48414E-3	9.27353E-3	9.08712E-3	8.84015E-3	8.57795E-3	8.31283E-3	7.97833E-3	7.65953E-3	7.43615E-3	7.18051E-3	6.84560E-3	6.54443E-3	6.27372E-3	6.00162E-3	5.74254E-3	5.53942E-3	5.30041E-3	5.10488E-3	4.87158E-3	4.67052E-3	4.50977E-3	4.33686E-3	4.18873E-3	4.03222E-3	3.90089E-3	3.77022E-3	3.66612E-3	3.55397E-3	3.43636E-3	3.34210E-3	3.23527E-3	3.13592E-3	3.03885E-3	2.97611E-3	2.89003E-3	2.80982E-3	2.75091E-3	2.67567E-3	2.64353E-3	2.56122E-3	2.53387E-3	2.46443E-3	2.42170E-3	2.37335E-3	2.33703E-3	2.27519E-3	2.23533E-3	2.18911E-3	2.17527E-3	2.14932E-3	2.09768E-3
2.54730E-3	2.58962E-3	2.57611E-3	2.62399E-3	2.65099E-3	2.68310E-3	2.72867E-3	2.77309E-3	2.82193E-3	2.86341E-3	2.93274E-3	2.98090E-3	3.03433E-3	3.12885E-3	3.18214E-3	3.25302E-3	3.36215E-3	3.41023E-3	3.55338E-3	3.67757E-3	3.74138E-3	3.87045E-3	4.01353E-3	4.15147E-3	4.26413E-3	4.44408E-3	4.59872E-3	4.75091E-3	4.90812E-3	5.11310E-3	5.32771E-3	5.49092E-3	5.73556E-3	5.99881E-3	6.26752E-3	6.56102E-3	6.87658E-3	7.21473E-3	7.60131E-3	7.99282E-3	8.45639E-3	8.84255E-3	9.23578E-3	9.59568E-3	9.69181E-3	9.69855E-3	9.74355E-3	9.67585E-3	9.64713E-3	9.51801E-3	9.32731E-3	9.13189E-3	8.90412E-3	8.67381E-3	8.37721E-3	8.05033E-3	7.72312E-3	7.48609E-3	7.16926E-3	6.86406E-3	6.57735E-3	6.30322E-3	6.03011E-3	5.79345E-3	5.55549E-3	5.33934E-3	5.11839E-3	4.91207E-3	4.73451E-3	4.52821E-3	4.33948E-3	4.21671E-3	4.03508E-3	3.91508E-3	3.79575E-3	3.68535E-3	3.59882E-3	3.44388E-3	3.36337E-3	3.27263E-3	3.16348E-3	3.07684E-3	2.99163E-3	2.90945E-3	2.84745E-3	2.75131E-3	2.70625E-3	2.64176E-3	2.58915E-3	2.53623E-3	2.47692E-3	2.43716E-3	2.38001E-3	2.33375E-3	2.29343E-3	2.25748E-3	2.20399E-3	2.19634E-3	2.15607E-3	2.13489E-3
2.58793E-3	2.60850E-3	2.60674E-3	2.64912E-3	2.67512E-3	2.71900E-3	2.74925E-3	2.79255E-3	2.85350E-3	2.88884E-3	2.96243E-3	3.02364E-3	3.09425E-3	3.15525E-3	3.25028E-3	3.33389E-3	3.39444E-3	3.49530E-3	3.57936E-3	3.70839E-3	3.80937E-3	3.94152E-3	4.08739E-3	4.19845E-3	4.34246E-3	4.51671E-3	4.66820E-3	4.81247E-3	5.01430E-3	5.20638E-3	5.39297E-3	5.62854E-3	5.85962E-3	6.08227E-3	6.35917E-3	6.66152E-3	6.97880E-3	7.31343E-3	7.69844E-3	8.05368E-3	8.51623E-3	8.95188E-3	9.33824E-3	9.68678E-3	9.79768E-3	9.82551E-3	9.88193E-3	9.82275E-3	9.81805E-3	9.67839E-3	9.50026E-3	9.27647E-3	9.04647E-3	8.77029E-3	8.45745E-3	8.13952E-3	7.84787E-3	7.57008E-3	7.28312E-3	6.94633E-3	6.65194E-3	6.38043E-3	6.11755E-3	5.87978E-3	5.64483E-3	5.38764E-3	5.18981E-3	4.95697E-3	4.76254E-3	4.56861E-3	4.39345E-3	4.25308E-3	4.10003E-3	3.94653E-3	3.82684E-3	3.71235E-3	3.61452E-3	3.49693E-3	3.38208E-3	3.27019E-3	3.17439E-3	3.10117E-3	3.01042E-3	2.94244E-3	2.86185E-3	2.78880E-3	2.71745E-3	2.67548E-3	2.59587E-3	2.55410E-3	2.52813E-3	2.44371E-3	2.40090E-3	2.33773E-3	2.32934E-3	2.28448E-3	2.25032E-3	2.20728E-3	2.14904E-3	2.13346E-3
2.59642E-3	2.59512E-3	2.63618E-3	2.65852E-3	2.67378E-3	2.71102E-3	2.77743E-3	2.82115E-3	2.85987E-3	2.92971E-3	2.96535E-3	3.03677E-3	3.10722E-3	3.17216E-3	3.24847E-3	3.33140E-3	3.41343E-3	3.49811E-3	3.63290E-3	3.74921E-3	3.83781E-3	3.96236E-3	4.09201E-3	4.24350E-3	4.39013E-3	4.52340E-3	4.69972E-3	4.85186E-3	5.05986E-3	5.25361E-3	5.45973E-3	5.66250E-3	5.89653E-3	6.17601E-3	6.42119E-3	6.70461E-3	7.08061E-3	7.37048E-3	7.71716E-3	8.12543E-3	8.58065E-3	9.00777E-3	9.41275E-3	9.75233E-3	9.88077E-3	9.90127E-3	9.91533E-3	9.88984E-3	9.85571E-3	9.70604E-3	9.49937E-3	9.28255E-3	9.10591E-3	8.83265E-3	8.50969E-3	8.17084E-3	7.87860E-3	7.63255E-3	7.29429E-3	6.97785E-3	6.66447E-3	6.38734E-3	6.15506E-3	5.89008E-3	5.66027E-3	5.42163E-3	5.20878E-3	5.00599E-3	4.81151E-3	4.63949E-3	4.54234E-3	4.25494E-3	4.10246E-3	3.97555E-3	3.84573E-3	3.72402E-3	3.63471E-3	3.51275E-3	3.39915E-3	3.31763E-3	3.21838E-3	3.11162E-3	3.01691E-3	2.93307E-3	2.88552E-3	2.80294E-3	2.75142E-3	2.67216E-3	2.62138E-3	2.58949E-3	2.53547E-3	2.47176E-3	2.39810E-3	2.36016E-3	2.32192E-3	2.30763E-3	2.25094E-3	2.20964E-3	2.17014E-3	2.14546E-3
2.61448E-3	2.60977E-3	2.62655E-3	2.65417E-3	2.69611E-3	2.74702E-3	2.80106E-3	2.80463E-3	2.85056E-3	2.94525E-3	2.98632E-3	3.06685E-3	3.13715E-3	3.19206E-3	3.25860E-3	3.35415E-3	3.42441E-3	3.54868E-3	3.68436E-3	3.74953E-3	3.88648E-3	4.01286E-3	4.14952E-3	4.26410E-3	4.42101E-3	4.56731E-3	4.71163E-3	4.90132E-3	5.10809E-3	5.28587E-3	5.50333E-3	5.70455E-3	5.94326E-3	6.20783E-3	6.50546E-3	6.80034E-3	7.10363E-3	7.46305E-3	8.03374E-3	8.23704E-3	8.65055E-3	9.07344E-3	9.47553E-3	9.81012E-3	9.94096E-3	9.95603E-3	1.00017E-2	1.00018E-2	9.91058E-3	9.77986E-3	9.61047E-3	9.37028E-3	9.17528E-3	8.87242E-3	8.56250E-3	8.23646E-3	7.91958E-3	7.67083E-3	7.34967E-3	7.06125E-3	6.73479E-3	6.45637E-3	6.19595E-3	5.94528E-3	5.67390E-3	5.42883E-3	5.23220E-3	5.00719E-3	4.79185E-3	4.61595E-3	4.45383E-3	4.27381E-3	4.13941E-3	3.99303E-3	4.05812E-3	3.78067E-3	3.62075E-3	3.50813E-3	3.39523E-3	3.31582E-3	3.21756E-3	3.10304E-3	3.05130E-3	2.98826E-3	2.86521E-3	2.82546E-3	2.75269E-3	2.68165E-3	2.63690E-3	2.59287E-3	2.53596E-3	2.48030E-3	2.43365E-3	2.38519E-3	2.33774E-3	2.29364E-3	2.26829E-3	2.22434E-3	2.17792E-3	2.14696E-3
2.61964E-3	2.61956E-3	2.66653E-3	2.68439E-3	2.70456E-3	2.72521E-3	2.78169E-3	2.83249E-3	2.86810E-3	2.94860E-3	3.00899E-3	3.07507E-3	3.14696E-3	3.20944E-3	3.27955E-3	3.36523E-3	3.45789E-3	3.56164E-3	3.68283E-3	3.78320E-3	3.90373E-3	4.03239E-3	4.14564E-3	4.31583E-3	4.44985E-3	4.60724E-3	4.75672E-3	4.95554E-3	5.12888E-3	5.32708E-3	5.54757E-3	5.73785E-3	5.97509E-3	6.24025E-3	6.54490E-3	6.83895E-3	7.14222E-3	7.48149E-3	7.86923E-3	8.26138E-3	8.76060E-3	9.17600E-3	9.60980E-3	9.97862E-3	1.00893E-2	1.00737E-2	1.00987E-2	1.00817E-2	1.00249E-2	9.86829E-3	9.71296E-3	9.44142E-3	9.21082E-3	8.92629E-3	8.61015E-3	8.27308E-3	8.00016E-3	7.69204E-3	7.40781E-3	7.05938E-3	6.76296E-3	6.49617E-3	6.21054E-3	5.97603E-3	5.70662E-3	5.47242E-3	5.25036E-3	5.02053E-3	4.82242E-3	4.65627E-3	4.47914E-3	4.32102E-3	4.18221E-3	4.02314E-3	3.87337E-3	3.78038E-3	3.65395E-3	3.54295E-3	3.42978E-3	3.34998E-3	3.24540E-3	3.15172E-3	3.06538E-3	2.96819E-3	2.91219E-3	2.85381E-3	2.78270E-3	2.70040E-3	2.64890E-3	2.60931E-3	2.53534E-3	2.49082E-3	2.43499E-3	2.39841E-3	2.37291E-3	2.31322E-3	2.24957E-3	2.26168E-3	2.21960E-3	2.17142E-3
2.61121E-3	2.62798E-3	2.66397E-3	2.69841E-3	2.73124E-3	2.74467E-3	2.81374E-3	2.86190E-3	2.91604E-3	2.96264E-3	3.03137E-3	3.09009E-3	3.17621E-3	3.24063E-3	3.31681E-3	3.40412E-3	3.50599E-3	3.60430E-3	3.71146E-3	3.80684E-3	3.96266E-3	4.11090E-3	4.20643E-3	4.33815E-3	4.49997E-3	4.63478E-3	4.82892E-3	4.98653E-3	5.20861E-3	5.42558E-3	5.62060E-3	5.86178E-3	6.07781E-3	6.35372E-3	6.61691E-3	6.91751E-3	7.25220E-3	7.71966E-3	8.13056E-3	8.46500E-3	8.86396E-3	9.27944E-3	9.68175E-3	1.00408E-2	1.01314E-2	1.01703E-2	1.01863E-2	1.01430E-2	1.00707E-2	9.90133E-3	9.74660E-3	9.55074E-3	9.27262E-3	9.00042E-3	8.67683E-3	8.34797E-3	8.01793E-3	7.74333E-3	7.45004E-3	7.13373E-3	6.83049E-3	6.53817E-3	6.29637E-3	6.01938E-3	5.75756E-3	5.50893E-3	5.32013E-3	5.08849E-3	4.88286E-3	4.68612E-3	4.53494E-3	4.37497E-3	4.19312E-3	4.06729E-3	3.94981E-3	3.81825E-3	3.68119E-3	3.57308E-3	3.44934E-3	3.35381E-3	3.24281E-3	3.15899E-3	3.04992E-3	3.02033E-3	2.93985E-3	2.87095E-3	2.80077E-3	2.71983E-3	2.68162E-3	2.60657E-3	2.55411E-3	2.51174E-3	2.45155E-3	2.43496E-3	2.37653E-3	2.32018E-3	2.30750E-3	2.26057E-3	2.23380E-3	2.17488E-3
2.65743E-3	2.65210E-3	2.69517E-3	2.70160E-3	2.73061E-3	2.79441E-3	2.82120E-3	2.89201E-3	2.92467E-3	3.00155E-3	3.07799E-3	3.11915E-3	3.19681E-3	3.26324E-3	3.34419E-3	3.44651E-3	3.52493E-3	3.66256E-3	3.77742E-3	3.85507E-3	4.01128E-3	4.11703E-3	4.24728E-3	4.39837E-3	4.56095E-3	4.69073E-3	4.85851E-3	5.05301E-3	5.25009E-3	5.43229E-3	5.64448E-3	5.86891E-3	6.10987E-3	6.38395E-3	6.67078E-3	6.98402E-3	7.29950E-3	7.61593E-3	8.05127E-3	8.48789E-3	8.95356E-3	9.36454E-3	9.78522E-3	1.01048E-2	1.01995E-2	1.02168E-2	1.02221E-2	1.01926E-2	1.01172E-2	9.97074E-3	9.75076E-3	9.56102E-3	9.37157E-3	9.05549E-3	8.67712E-3	8.35635E-3	8.06794E-3	7.77239E-3	7.46798E-3	7.12681E-3	6.82378E-3	6.54274E-3	6.28417E-3	6.02711E-3	5.79055E-3	5.49426E-3	5.32775E-3	5.09114E-3	4.86016E-3	4.67204E-3	4.51526E-3	4.33535E-3	4.20456E-3	4.06840E-3	3.90717E-3	3.80174E-3	3.67366E-3	3.57667E-3	3.45320E-3	3.35370E-3	3.28125E-3	3.16793E-3	3.07820E-3	2.99768E-3	2.94605E-3	2.87066E-3	2.79814E-3	2.72754E-3	2.66397E-3	2.61469E-3	2.56664E-3	2.49256E-3	2.46719E-3	2.41661E-3	2.37205E-3	2.32384E-3	2.32380E-3	2.25221E-3	2.23184E-3	2.16724E-3
2.63828E-3	2.68602E-3	2.68704E-3	2.74463E-3	2.75759E-3	2.78094E-3	2.85411E-3	2.90440E-3	2.95151E-3	2.99459E-3	3.05342E-3	3.15903E-3	3.23316E-3	3.27806E-3	3.35809E-3	3.44073E-3	3.55636E-3	3.66397E-3	3.75053E-3	3.87556E-3	4.00023E-3	4.15267E-3	4.26896E-3	4.43173E-3	4.54954E-3	4.71866E-3	4.89857E-3	5.07647E-3	5.31756E-3	5.47453E-3	5.71290E-3	5.94258E-3	6.15309E-3	6.44864E-3	6.70078E-3	7.03521E-3	7.39240E-3	7.74429E-3	8.11506E-3	8.57277E-3	9.03108E-3	9.45410E-3	9.92692E-3	1.01549E-2	1.02076E-2	1.02498E-2	1.02684E-2	1.02092E-2	1.01334E-2	9.97589E-3	9.81648E-3	9.61636E-3	9.34517E-3	9.04655E-3	8.70125E-3	8.33473E-3	8.04867E-3	7.80390E-3	7.43095E-3	7.14027E-3	6.85200E-3	6.58074E-3	6.30180E-3	6.06037E-3	5.79648E-3	5.54748E-3	5.32988E-3	5.08988E-3	4.89577E-3	4.70385E-3	4.53969E-3	4.37182E-3	4.21715E-3	4.06859E-3	3.91514E-3	3.81071E-3	3.67732E-3	3.57209E-3	3.44327E-3	3.37382E-3	3.25934E-3	3.20933E-3	3.11508E-3	3.03817E-3	2.94481E-3	2.86506E-3	2.79997E-3	2.74183E-3	2.68401E-3	2.63370E-3	2.58571E-3	2.53329E-3	2.47987E-3	2.42481E-3	2.39790E-3	2.32398E-3	2.32353E-3	2.26889E-3	2.20501E-3	2.20444E-3
2.66360E-3	2.68588E-3	2.71051E-3	2.74514E-3	2.76882E-3	2.81362E-3	2.85409E-3	2.90652E-3	2.96457E-3	3.01777E-3	3.08980E-3	3.16377E-3	3.21974E-3	3.28432E-3	3.43538E-3	3.50356E-3	3.59474E-3	3.67688E-3	3.81414E-3	3.89850E-3	4.03136E-3	4.16200E-3	4.30702E-3	4.45163E-3	4.60629E-3	4.76815E-3	4.93833E-3	5.10846E-3	5.32936E-3	5.53173E-3	5.74772E-3	5.98468E-3	6.26522E-3	6.51169E-3	6.77461E-3	7.09875E-3	7.44228E-3	7.81450E-3	8.21584E-3	8.69500E-3	9.12683E-3	9.51268E-3	9.96948E-3	1.02482E-2	1.02946E-2	1.02946E-2	1.03021E-2	1.02677E-2	1.02079E-2	9.98946E-3	9.83158E-3	9.59209E-3	9.29894E-3	9.02101E-3	8.69623E-3	8.37291E-3	8.08415E-3	7.79269E-3	7.45957E-3	7.14796E-3	6.87417E-3	6.56559E-3	6.35106E-3	6.06462E-3	5.78343E-3	5.54525E-3	5.34560E-3	5.11454E-3	4.91705E-3	4.70681E-3	4.54051E-3	4.51269E-3	4.32977E-3	4.12654E-3	3.97089E-3	3.82914E-3	3.70480E-3	3.58549E-3	3.49501E-3	3.40541E-3	3.28766E-3	3.34592E-3	3.17766E-3	3.00557E-3	2.93402E-3	2.89325E-3	2.82434E-3	2.75433E-3	2.69484E-3	2.64370E-3	2.59369E-3	2.53353E-3	2.50397E-3	2.44240E-3	2.37913E-3	2.35807E-3	2.30888E-3	2.28362E-3	2.22039E-3	2.20547E-3
2.67991E-3	2.67675E-3	2.71522E-3	2.75179E-3	2.77218E-3	2.82144E-3	2.88273E-3	2.93293E-3	2.97706E-3	3.03484E-3	3.10293E-3	3.16536E-3	3.23952E-3	3.31654E-3	3.39994E-3	3.50885E-3	3.58408E-3	3.70802E-3	3.82878E-3	3.93228E-3	3.96381E-3	4.02820E-3	4.17419E-3	4.39836E-3	4.61640E-3	4.80315E-3	4.99409E-3	5.17565E-3	5.40103E-3	5.58974E-3	5.81295E-3	6.02795E-3	6.25749E-3	6.55923E-3	6.85395E-3	7.18072E-3	7.50075E-3	7.87795E-3	8.28133E-3	8.76566E-3	9.24575E-3	9.60827E-3	1.00279E-2	1.02576E-2	1.03356E-2	1.03159E-2	1.03447E-2	1.02846E-2	1.02030E-2	1.00289E-2	9.87671E-3	9.61511E-3	9.33355E-3	9.07379E-3	8.73838E-3	8.40584E-3	8.09777E-3	7.84342E-3	7.49901E-3	7.16745E-3	6.87403E-3	6.62198E-3	6.33417E-3	6.07333E-3	5.82030E-3	5.57012E-3	5.35723E-3	5.14741E-3	4.91266E-3	4.74419E-3	5.18638E-3	4.94700E-3	4.69070E-3	4.30725E-3	3.95336E-3	3.83388E-3	3.71364E-3	3.58755E-3	3.51006E-3	3.39374E-3	3.29979E-3	3.16634E-3	3.09240E-3	3.02350E-3	2.96519E-3	2.89188E-3	2.84372E-3	2.75923E-3	2.69114E-3	2.64377E-3	2.56757E-3	2.51181E-3	2.45444E-3	2.42113E-3	2.42157E-3	2.36073E-3	2.33480E-3	2.28520E-3	2.26558E-3	2.24971E-3
2.68454E-3	2.70023E-3	2.72470E-3	2.75799E-3	2.78402E-3	2.83467E-3	2.87353E-3	2.93638E-3	3.00948E-3	3.05583E-3	3.11269E-3	3.19903E-3	3.27629E-3	3.34719E-3	3.44512E-3	3.54037E-3	3.63022E-3	3.73327E-3	3.87678E-3	3.97078E-3	4.08275E-3	4.18964E-3	4.34575E-3	4.53054E-3	4.67400E-3	4.85931E-3	5.03777E-3	5.21958E-3	5.43121E-3	5.62985E-3	5.84671E-3	6.08444E-3	6.37663E-3	6.63560E-3	6.91110E-3	7.23844E-3	7.59805E-3	7.99266E-3	8.38926E-3	8.89480E-3	9.30275E-3	9.74451E-3	1.01192E-2	1.03692E-2	1.03606E-2	1.03883E-2	1.04149E-2	1.03272E-2	1.02258E-2	1.00692E-2	9.84722E-3	9.61773E-3	9.34112E-3	9.06134E-3	8.71682E-3	8.36718E-3	8.07954E-3	7.78494E-3	7.46704E-3	7.15071E-3	6.84425E-3	6.57130E-3	6.32989E-3	6.07120E-3	5.81647E-3	5.55966E-3	5.36434E-3	5.15098E-3	4.94023E-3	4.74043E-3	4.57721E-3	4.43750E-3	4.24197E-3	4.11956E-3	3.96192E-3	3.86251E-3	3.73691E-3	3.59860E-3	3.51385E-3	3.42698E-3	3.32858E-3	3.22123E-3	3.12119E-3	3.04351E-3	2.98426E-3	2.89521E-3	2.83130E-3	2.75586E-3	2.68962E-3	2.62145E-3	2.60504E-3	2.52932E-3	2.48924E-3	2.49104E-3	2.41570E-3	2.36689E-3	2.32829E-3	2.30272E-3	2.28443E-3	2.25268E-3
2.69905E-3	2.71234E-3	2.75222E-3	2.77997E-3	2.81786E-3	2.86553E-3	2.92141E-3	2.97052E-3	3.03864E-3	3.09585E-3	3.15248E-3	3.22347E-3	3.29479E-3	3.38072E-3	3.47572E-3	3.56158E-3	3.65271E-3	3.80122E-3	3.92526E-3	4.05995E-3	4.16493E-3	4.31076E-3	4.41699E-3	4.59025E-3	4.75840E-3	4.93301E-3	5.09595E-3	5.27747E-3	5.48788E-3	5.72400E-3	5.91659E-3	6.15658E-3	6.42254E-3	6.69491E-3	6.98994E-3	7.34596E-3	7.71100E-3	8.06565E-3	8.50277E-3	8.95400E-3	9.40676E-3	9.82690E-3	1.02199E-2	1.04302E-2	1.04437E-2	1.05108E-2	1.04936E-2	1.04003E-2	1.02924E-2	1.00772E-2	9.91369E-3	9.64409E-3	9.36637E-3	9.06260E-3	8.76058E-3	8.37943E-3	8.13828E-3	7.83625E-3	7.54075E-3	7.17145E-3	6.92558E-3	6.63059E-3	6.38572E-3	6.07724E-3	5.86193E-3	5.60094E-3	5.40934E-3	5.16731E-3	4.95373E-3	4.78799E-3	4.60744E-3	4.44607E-3	4.28915E-3	4.15215E-3	3.97789E-3	3.88763E-3	3.73826E-3	3.63609E-3	3.51460E-3	3.45499E-3	3.34230E-3	3.25123E-3	3.13785E-3	3.06516E-3	3.01776E-3	2.91815E-3	2.82568E-3	2.74648E-3	2.63209E-3	2.58493E-3	2.54553E-3	2.54332E-3	2.50628E-3	2.48840E-3	2.44374E-3	2.40750E-3	2.36938E-3	2.33700E-3	2.26725E-3	2.27003E-3
2.70751E-3	2.73143E-3	2.76160E-3	2.79357E-3	2.82979E-3	2.86614E-3	2.92521E-3	2.98494E-3	3.02924E-3	3.08973E-3	3.18460E-3	3.24124E-3	3.32345E-3	3.41629E-3	3.49007E-3	3.59752E-3	3.72165E-3	3.81581E-3	3.94844E-3	4.10429E-3	4.17063E-3	4.32305E-3	4.44146E-3	4.61097E-3	4.78174E-3	4.94673E-3	5.13128E-3	5.30441E-3	5.52617E-3	5.74994E-3	5.97202E-3	6.19934E-3	6.52477E-3	6.77128E-3	7.07136E-3	7.36872E-3	7.76362E-3	8.14998E-3	8.55808E-3	9.05135E-3	9.48548E-3	9.92055E-3	1.02661E-2	1.04587E-2	1.04762E-2	1.04891E-2	1.04895E-2	1.04001E-2	1.02851E-2	1.01038E-2	9.88152E-3	9.63790E-3	9.33737E-3	9.06620E-3	8.74037E-3	8.39219E-3	8.10943E-3	7.81434E-3	7.49181E-3	7.13984E-3	6.88225E-3	6.60507E-3	6.35556E-3	6.07668E-3	5.85436E-3	5.58596E-3	5.39671E-3	5.18375E-3	4.94467E-3	4.77722E-3	4.60101E-3	4.40017E-3	4.31219E-3	4.15008E-3	3.99833E-3	3.86029E-3	3.76975E-3	3.63840E-3	3.51405E-3	3.44042E-3	3.36175E-3	3.26974E-3	3.17366E-3	3.08328E-3	3.00555E-3	2.92093E-3	2.82779E-3	2.74414E-3	2.67303E-3	2.58420E-3	2.53898E-3	2.50788E-3	2.51309E-3	2.50172E-3	2.45255E-3	2.40195E-3	2.37343E-3	2.34009E-3	2.28075E-3	2.25597E-3
