205016	205073	205130	205187	205244	205300	205357	205414	205471	205528	205585	205642	205699	205756	205812	205869	205926	205983	206040	206097	206154	206211	206268	206324	206381	206438	206495	206552	206609	206666	206723	206780	206836	206893	206950	207007	207064	207121	207178	207235	207292	207348	207405	207462	207519	207576	207633	207690	207747	207804	207860	207917	207974	208031	208088	208145	208202	208259	208316	208372	208429	208486	208543	208600	208657	208714	208771	208828	208884	208941	208998	209055	209112	209169	209226	209283	209340	209396	209453	209510	209567	209624	209681	209738	209795	209852	209908	209965	210022	210079	210136	210193	210250	210307	210364	210420	210477	210534	210591	210648

-------------------------------------------------------------------
9.98899E+0	1.00103E+1	9.52465E+0	9.17858E+0	7.84761E+0	6.36775E+0	7.48118E+0	7.96172E+0	8.66306E+0	8.49995E+0	9.29317E+0	8.82526E+0	8.50027E+0	9.01187E+0	8.80954E+0	8.69352E+0	8.16302E+0	8.42523E+0	8.55666E+0	8.26436E+0	8.48109E+0	8.37569E+0	8.63142E+0	8.53959E+0	8.51152E+0	8.21056E+0	8.44117E+0	8.49385E+0	8.40068E+0	8.16404E+0	8.44726E+0	8.38743E+0	8.41673E+0	8.47409E+0	8.48056E+0	8.52008E+0	8.67286E+0	8.61689E+0	8.65838E+0	8.75719E+0	8.73022E+0	8.71614E+0	8.75165E+0	8.82941E+0	9.16700E+0	9.23408E+0	9.30297E+0	9.52924E+0	9.36087E+0	9.53576E+0	8.86112E+0	8.30447E+0	8.13653E+0	7.85763E+0	8.04714E+0	7.93415E+0	7.91209E+0	7.83555E+0	7.86536E+0	7.59729E+0	7.35851E+0	7.02604E+0	6.75226E+0	6.26215E+0	5.66100E+0	4.99283E+0	3.66258E+0	1.83048E+0	7.35437E-1	9.14281E-1	7.09121E-1	8.05091E-1	9.19322E-1	7.71886E-1	9.52686E-1	8.18045E-1	1.02316E+0	8.16889E-1	8.89567E-1	9.62675E-1	9.56117E-1	8.13188E-1	9.70301E-1	9.83842E-1	9.36199E-1	8.70592E-1	5.81190E-1	1.44436E+0	1.01733E+0	8.92538E-1	7.02208E-1	6.14703E-1	1.05596E+0	8.30512E-1	6.42978E-1	7.86077E-1	1.50765E+0	6.30039E-1	3.60015E-1	6.83413E-1
9.07218E+0	1.01652E+1	9.75580E+0	8.52661E+0	7.74080E+0	7.41058E+0	7.54083E+0	8.48320E+0	8.51103E+0	8.89024E+0	9.28850E+0	8.98617E+0	8.43883E+0	8.96573E+0	8.69721E+0	8.69328E+0	8.76266E+0	8.73033E+0	8.69740E+0	8.74264E+0	8.64456E+0	8.41063E+0	8.43752E+0	8.70754E+0	9.03924E+0	8.74507E+0	8.72090E+0	8.78591E+0	8.66595E+0	8.43678E+0	8.54356E+0	8.51916E+0	8.66370E+0	8.57273E+0	8.79705E+0	8.69016E+0	8.72196E+0	8.72817E+0	8.89476E+0	9.08460E+0	9.10548E+0	9.28683E+0	9.27932E+0	9.40189E+0	9.43884E+0	9.54895E+0	9.55815E+0	9.83300E+0	9.79875E+0	9.39601E+0	8.95537E+0	1.52163E+1	8.27826E+0	8.04601E+0	8.08867E+0	7.79774E+0	7.85143E+0	7.83738E+0	7.80668E+0	7.50929E+0	7.36688E+0	7.08792E+0	6.60046E+0	4.02189E-1	5.34591E+0	6.99343E-1	4.67770E+0	-7.37488E+0	8.89269E-1	6.74672E-1	-1.84134E+1	-3.61611E-1	3.05733E+0	-1.82752E+0	-1.07477E+1	6.68069E-1	-2.03931E+0	1.86577E-1	1.03660E+1	-2.66864E+0	1.19144E+0	2.03110E+0	7.12378E-1	-3.97641E+0	-5.24832E+0	1.30625E+0	2.22227E+0	9.85287E-1	1.42019E+1	1.71145E+0	-6.11253E+0	-5.22535E+0	8.41822E-1	-5.28504E+0	6.84348E-1	-1.95108E+1	-6.20184E+0	1.91246E-1	-1.72909E-1	-5.05548E+1
9.93071E+0	9.77002E+0	2.04754E+1	3.06891E+1	8.37386E+0	7.40132E+0	7.67446E+0	7.87113E+0	8.94451E+0	8.91625E+0	9.15588E+0	8.77687E+0	9.15078E+0	9.15073E+0	8.92208E+0	9.10510E+0	8.78893E+0	9.31581E+0	8.69479E+0	8.49904E+0	8.95157E+0	8.83710E+0	8.44100E+0	8.52724E+0	8.95115E+0	8.57827E+0	8.46635E+0	8.61293E+0	8.58128E+0	8.57100E+0	8.73216E+0	8.32071E+0	8.68423E+0	8.70462E+0	8.79423E+0	8.72897E+0	8.72405E+0	8.98898E+0	9.08017E+0	8.99412E+0	8.94249E+0	9.21425E+0	9.04190E+0	9.33032E+0	9.31846E+0	9.44191E+0	9.64633E+0	9.65951E+0	9.69554E+0	9.48360E+0	8.80769E+0	8.52048E+0	8.21615E+0	8.10756E+0	8.04278E+0	7.90993E+0	7.70547E+0	7.86059E+0	7.75108E+0	7.70269E+0	7.36314E+0	6.92711E+0	6.46802E+0	6.19754E+0	5.53477E+0	4.62254E+0	3.36047E+0	1.48073E+0	8.69856E-1	6.40228E-1	5.87213E-1	4.03777E-1	7.26590E-1	5.78059E-1	6.62837E-1	4.16838E-1	7.70183E-1	3.62054E-1	5.82114E-1	8.38115E-1	8.29568E-1	7.13805E-1	9.05818E-1	7.28726E-1	6.35589E-1	9.05801E-1	1.05897E+0	9.82146E-1	9.59901E-1	6.61823E-1	5.68934E-1	1.19362E+0	1.30350E+0	8.30095E-1	9.44348E-1	8.48139E-1	1.04546E+0	9.57452E-1	4.24026E-1	7.90278E-1
1.01470E+1	1.00690E+1	9.62259E+0	8.64407E+0	8.57606E+0	7.20742E+0	7.30708E+0	8.25118E+0	8.78722E+0	8.56933E+0	8.99613E+0	8.90657E+0	9.05653E+0	9.11839E+0	8.70658E+0	8.93873E+0	8.82665E+0	9.18894E+0	8.66477E+0	8.99788E+0	8.78742E+0	8.93890E+0	8.91519E+0	8.72435E+0	8.75852E+0	8.93733E+0	8.65519E+0	8.85951E+0	8.64750E+0	8.60651E+0	8.73344E+0	8.51033E+0	8.61743E+0	8.60181E+0	8.79937E+0	8.51526E+0	8.74842E+0	8.85409E+0	8.98483E+0	8.96717E+0	8.97700E+0	9.21652E+0	9.26307E+0	9.22731E+0	9.40404E+0	9.48294E+0	9.60185E+0	9.69105E+0	9.65986E+0	9.49266E+0	8.83199E+0	8.54023E+0	8.27384E+0	8.05400E+0	8.10354E+0	7.96671E+0	7.96596E+0	7.91688E+0	7.84220E+0	7.70003E+0	7.50169E+0	7.16863E+0	6.68742E+0	6.41926E+0	5.72757E+0	4.73268E+0	3.48272E+0	1.61907E+0	1.01949E+0	9.18228E-1	8.51578E-1	8.13319E-1	8.06986E-1	8.41514E-1	9.35213E-1	9.35603E-1	1.11343E+0	9.63953E-1	1.01022E+0	9.94140E-1	1.08026E+0	1.24143E+0	1.01770E+0	1.05099E+0	8.71742E-1	8.40071E-1	1.26377E+0	7.34537E-1	1.42005E+0	9.11093E-1	1.06215E+0	1.13604E+0	8.48837E-1	7.34449E-1	9.01865E-1	9.80718E-1	4.41470E-1	7.99531E-1	5.39795E-1	6.89377E-1
1.01768E+1	1.00562E+1	9.96763E+0	9.10091E+0	7.88767E+0	7.69734E+0	7.34457E+0	8.51924E+0	9.26233E+0	6.47002E+0	2.50165E+1	-3.54105E+0	8.45668E+0	9.29056E+0	9.06109E+0	9.22324E+0	9.18971E+0	8.99604E+0	7.66154E+0	3.76124E+1	1.20831E+1	8.67340E+0	8.61877E+0	8.80107E+0	8.82021E+0	8.83655E+0	8.85229E+0	7.75480E+0	-8.32982E+0	8.74387E+0	-1.24847E+1	8.22752E+0	2.44574E+1	9.12007E+0	-2.36343E+0	8.98601E+0	-7.89017E+0	8.63192E+0	-1.96064E-1	6.14076E+0	1.06032E+1	-2.29141E+0	9.17105E+0	9.26612E+0	9.50056E+0	7.48701E+0	1.25579E+1	9.75233E+0	1.62648E+1	9.62717E+0	1.51699E+1	8.66733E+0	9.09616E+0	1.26289E+1	8.15411E+0	9.90308E+0	8.16527E+0	7.10751E+0	9.34534E+0	7.78216E+0	1.26745E+1	7.16516E+0	6.82157E+0	6.24855E+0	5.84389E+0	5.06200E+0	3.46500E+0	1.64492E+0	1.05617E+0	8.99246E-1	9.30762E-1	8.42157E-1	8.62771E-1	9.77212E-1	7.76941E-1	9.39392E-1	9.38374E-1	9.72470E-1	9.31832E-1	1.12853E+0	1.23918E+0	8.92655E-1	9.75804E-1	1.12643E+0	5.86857E-1	7.41756E-1	9.88473E-1	7.70115E-1	9.77516E-1	-6.60647E+0	3.26791E+0	-1.48502E+1	6.20733E-1	6.74487E-1	8.95543E-1	9.71508E-1	4.96927E-1	6.99835E-1	-1.89005E+1	3.13757E-1
9.71955E+0	1.00345E+1	1.00468E+1	4.56881E+1	8.28238E+0	7.32421E+0	-2.40224E+0	1.43420E+1	6.08554E+0	-3.26166E+1	8.95533E+0	4.93723E+1	1.12335E+1	2.21803E+1	2.68248E+1	9.32122E+0	4.44575E+1	9.11164E+0	1.53699E+0	1.02914E+1	5.75718E-1	9.15025E+0	8.93609E+0	-2.66073E+0	8.48128E+0	8.69262E+0	4.60931E+0	-2.27895E+0	9.04948E+0	3.12573E+1	2.89560E+1	9.03854E+0	-2.94855E+0	-1.04399E+0	9.05858E+0	2.44410E+1	9.29732E+0	-7.65113E+0	7.42910E+0	6.26722E+0	7.42623E+0	9.14231E+0	2.42614E+1	9.59571E+0	9.49274E+0	9.69385E+0	9.79479E+0	9.89721E+0	9.84448E+0	9.39446E+0	8.92843E+0	8.63944E+0	8.15968E+0	8.03326E+0	8.09592E+0	8.11553E+0	8.07995E+0	8.07688E+0	8.00162E+0	7.76139E+0	7.35613E+0	7.00320E+0	6.73781E+0	6.24329E+0	5.72552E+0	4.82910E+0	3.13749E+0	1.60309E+0	1.09496E+0	1.01948E+0	1.01180E+0	8.77140E-1	9.96828E-1	9.85624E-1	9.58493E-1	9.08031E-1	8.24619E-1	8.72463E-1	9.18510E-1	9.48338E-1	1.04143E+0	8.57466E-1	8.45567E-1	8.66762E-1	8.88962E-1	8.81819E-1	1.12067E+0	1.19469E+0	7.22607E-1	1.00469E+0	1.08701E+0	1.01676E+0	9.76172E-1	1.01702E+0	6.49804E-1	9.49041E-1	6.89886E-1	9.53275E-1	6.68140E-1	6.89525E-1
1.00601E+1	1.01515E+1	9.65666E+0	9.32908E+0	8.20788E+0	7.36695E+0	7.84724E+0	8.32862E+0	9.12975E+0	9.03557E+0	9.13658E+0	9.30424E+0	8.85439E+0	9.01278E+0	9.07075E+0	9.24800E+0	8.65148E+0	8.62707E+0	8.83925E+0	8.67609E+0	8.78719E+0	8.69275E+0	8.64475E+0	8.81140E+0	8.78059E+0	8.69046E+0	8.51301E+0	8.80612E+0	8.82445E+0	8.79367E+0	8.71996E+0	8.74459E+0	8.74403E+0	8.94656E+0	8.87367E+0	8.96882E+0	8.93234E+0	9.11925E+0	9.08940E+0	9.20158E+0	9.15790E+0	9.42499E+0	9.48777E+0	9.41669E+0	9.52425E+0	9.60979E+0	9.66865E+0	9.73147E+0	9.84221E+0	9.55060E+0	8.94415E+0	8.58267E+0	8.32915E+0	8.13280E+0	8.13553E+0	8.00716E+0	8.04508E+0	8.07555E+0	7.88721E+0	7.79014E+0	7.50730E+0	7.16272E+0	6.82585E+0	6.26133E+0	5.58071E+0	4.74899E+0	2.94321E+0	1.56826E+0	1.04321E+0	7.59075E-1	8.45926E-1	7.69294E-1	8.28019E-1	9.33332E-1	8.87927E-1	7.53018E-1	7.68187E-1	8.03594E-1	8.83340E-1	8.50969E-1	9.91768E-1	9.34137E-1	9.14147E-1	1.07123E+0	9.31706E-1	8.79726E-1	1.08641E+0	9.93381E-1	1.09074E+0	1.05033E+0	1.02088E+0	1.00651E+0	8.89703E-1	4.13325E-1	8.69362E-1	9.14152E-1	1.02680E+0	8.75153E-1	8.30950E-1	1.31982E+0
1.04473E+1	9.90392E+0	9.79436E+0	8.71410E+0	8.20451E+0	7.55377E+0	8.63263E+0	8.63134E+0	8.96533E+0	8.94108E+0	9.27363E+0	9.27270E+0	9.48547E+0	9.15464E+0	8.92705E+0	9.12049E+0	8.89452E+0	9.02992E+0	8.97468E+0	8.88235E+0	8.84992E+0	8.72336E+0	-6.09917E+0	4.21128E+1	9.16294E+0	8.79002E+0	8.63911E+0	8.69985E+0	8.86531E+0	8.69213E+0	1.91110E+1	1.09877E+1	8.91551E+0	8.82817E+0	8.86947E+0	8.86389E+0	8.76932E+0	8.97571E+0	6.35252E+0	1.55390E+1	9.50449E+0	-2.06444E+0	9.21966E+0	1.10622E+1	1.09519E+1	8.33641E+0	1.70758E+1	9.77060E+0	4.21268E+0	9.57216E+0	7.80761E+0	8.03649E+0	8.22762E+0	1.25703E+1	8.04870E+0	5.94215E+0	8.48872E+0	7.32806E+0	1.02844E+1	7.73278E+0	1.05150E+1	7.25068E+0	7.31214E+0	3.89065E+0	6.26040E+0	-2.76150E+0	2.94950E+0	1.15990E+1	-1.45599E-1	7.01755E+0	-7.63326E+0	9.87224E-1	-1.12812E+1	1.28518E+0	4.11643E+0	1.55259E+0	1.02827E+0	9.95441E-1	1.04482E+0	1.05061E+0	1.11874E+0	1.09674E+0	1.05699E+0	9.90590E-1	1.17938E+0	1.09425E+0	9.32226E-1	1.04638E+0	1.13847E+0	8.13334E-1	1.00514E+0	1.12798E+0	9.93326E-1	1.14213E+0	8.60967E-1	8.92789E-1	8.92613E-1	6.98122E-1	9.28250E-1	9.31072E-1
1.02472E+1	9.95107E+0	9.81895E+0	8.73227E+0	8.14279E+0	7.57648E+0	8.10385E+0	8.52668E+0	8.98580E+0	9.11435E+0	9.26794E+0	9.24479E+0	9.01702E+0	9.08382E+0	8.94423E+0	9.02924E+0	8.92168E+0	8.82671E+0	8.89820E+0	8.65527E+0	8.60983E+0	8.81766E+0	8.77031E+0	8.74267E+0	8.67842E+0	8.69757E+0	8.53896E+0	8.74094E+0	8.79392E+0	8.77280E+0	8.73089E+0	8.89975E+0	8.80369E+0	8.88789E+0	8.94903E+0	8.99758E+0	8.93420E+0	9.18043E+0	9.14209E+0	9.21848E+0	9.02125E+0	9.19820E+0	9.33491E+0	9.43527E+0	9.43651E+0	9.65372E+0	9.71730E+0	9.87006E+0	9.96602E+0	9.41099E+0	8.74721E+0	8.27392E+0	8.12714E+0	8.02481E+0	7.96944E+0	7.91286E+0	7.97598E+0	7.96890E+0	7.90580E+0	7.78475E+0	7.59994E+0	7.18863E+0	6.80844E+0	6.30418E+0	5.68737E+0	4.93133E+0	2.76489E+0	1.41207E+0	1.14493E+0	1.03640E+0	1.06208E+0	9.61088E-1	1.00481E+0	1.06203E+0	9.12356E-1	1.02809E+0	9.34537E-1	1.11680E+0	1.00859E+0	1.12556E+0	1.03313E+0	9.30434E-1	1.11242E+0	9.17374E-1	9.70396E-1	6.73330E-1	9.23047E-1	7.75862E-1	1.01848E+0	1.07316E+0	4.98948E-1	9.30953E-1	9.42561E-1	6.74959E-1	1.27832E+0	9.15571E-1	1.05043E+0	5.31197E-1	9.53822E-1	1.13656E+0
1.01812E+1	1.00866E+1	9.89244E+0	8.69405E+0	7.89442E+0	7.79759E+0	7.98359E+0	8.95369E+0	9.05290E+0	9.12640E+0	9.36256E+0	9.22618E+0	9.31986E+0	9.20954E+0	9.07927E+0	9.15661E+0	8.83151E+0	9.29905E+0	8.76726E+0	8.93448E+0	8.95585E+0	8.88847E+0	8.81701E+0	1.67624E+1	1.91869E+1	1.64037E+1	9.01110E+0	8.73791E+0	8.74854E+0	8.58341E+0	7.02131E+0	1.06182E+1	8.90533E+0	8.89397E+0	8.84449E+0	9.07845E+0	8.89711E+0	9.05290E+0	9.12188E+0	1.14543E+0	9.75988E+0	9.41832E+0	9.38054E+0	9.50245E+0	3.88728E-1	9.52539E+0	1.06127E+1	1.04346E+1	9.91964E+0	9.34199E+0	8.73674E+0	8.41870E+0	8.08382E+0	7.97470E+0	7.80551E+0	5.62175E+0	7.86828E+0	7.90061E+0	7.87190E+0	7.54788E+0	7.39455E+0	7.07460E+0	6.65412E+0	6.15050E+0	5.53300E+0	4.67922E+0	2.43916E+0	1.33561E+0	1.08684E+0	9.26093E-1	9.85862E-1	1.04849E+0	9.20232E-1	1.01704E+0	9.97006E-1	1.00828E+0	1.01550E+0	9.81761E-1	1.11050E+0	1.13704E+0	1.06830E+0	1.17175E+0	1.18174E+0	1.27430E+0	1.18874E+0	9.89916E-1	1.14967E+0	1.20422E+0	8.83663E-1	1.07961E+0	1.18442E+0	1.23134E+0	1.07483E+0	1.31103E+0	1.27883E+0	1.08272E+0	9.52959E-1	8.82421E-1	1.04876E+0	1.07374E+0
1.02112E+1	9.85237E+0	9.86304E+0	8.53204E+0	8.04089E+0	7.95240E+0	8.12485E+0	8.77403E+0	8.96733E+0	9.37148E+0	9.58577E+0	9.30593E+0	9.26582E+0	9.29620E+0	9.26714E+0	9.05868E+0	9.10377E+0	9.06964E+0	8.92506E+0	8.88966E+0	8.88187E+0	8.91977E+0	8.93589E+0	8.85375E+0	8.88164E+0	8.87816E+0	8.72338E+0	8.74645E+0	8.77068E+0	8.96076E+0	8.83704E+0	8.71346E+0	8.84034E+0	8.69472E+0	8.88349E+0	9.03145E+0	9.03464E+0	9.11187E+0	9.16881E+0	9.26737E+0	9.33668E+0	9.30009E+0	9.59402E+0	9.57963E+0	9.56158E+0	9.65317E+0	9.75141E+0	9.90978E+0	9.97976E+0	9.39156E+0	8.87328E+0	8.41537E+0	8.14778E+0	8.18347E+0	8.06869E+0	7.99467E+0	8.08407E+0	8.09933E+0	8.05127E+0	7.83860E+0	7.66200E+0	7.22958E+0	6.90848E+0	6.28140E+0	5.71151E+0	4.76168E+0	2.39791E+0	1.47092E+0	1.15975E+0	1.16685E+0	1.07442E+0	1.25255E+0	1.12400E+0	1.09306E+0	1.10356E+0	1.23587E+0	1.12091E+0	1.21273E+0	1.04457E+0	1.09415E+0	9.98683E-1	1.20355E+0	1.28364E+0	1.08574E+0	1.13551E+0	1.23436E+0	1.25598E+0	9.62676E-1	1.13331E+0	9.45036E-1	1.09645E+0	1.13148E+0	8.95043E-1	8.91851E-1	8.53248E-1	1.07780E+0	7.59359E-1	8.12966E-1	1.03285E+0	9.04472E-1
1.00632E+1	1.00343E+1	9.39086E+0	8.53061E+0	7.82618E+0	8.03140E+0	8.45897E+0	8.78381E+0	9.30122E+0	9.34250E+0	9.42399E+0	9.34133E+0	8.98169E+0	9.51412E+0	9.32802E+0	9.12280E+0	9.17654E+0	9.23391E+0	9.09235E+0	9.06785E+0	9.17236E+0	9.02100E+0	8.88331E+0	8.91706E+0	8.92312E+0	8.95597E+0	1.10986E+1	7.96118E+0	1.17353E+1	9.40221E+0	8.94855E+0	1.78378E+1	2.74870E+0	8.95646E+0	8.93995E+0	9.01626E+0	9.06232E+0	9.06937E+0	9.14925E+0	9.33162E+0	9.20680E+0	9.35839E+0	9.45152E+0	9.55514E+0	1.30770E+1	9.14372E+0	9.85306E+0	1.12264E+1	9.74296E+0	8.99366E+0	8.10929E+0	6.56508E+0	8.19010E+0	1.04344E+1	8.12316E+0	9.93998E+0	7.34575E+0	7.41081E+0	1.03239E+1	7.91896E+0	7.17032E+0	7.13708E+0	9.76223E+0	4.50860E+0	4.77690E+0	6.25529E+0	2.32851E+0	-5.48645E+0	1.89887E+0	7.86521E+0	-3.38124E+0	1.62546E+0	2.99748E+0	8.51267E-1	5.01927E-1	1.23567E+0	-5.48391E+0	9.48535E+0	9.28915E-1	1.11349E+0	5.29449E+0	1.26328E+0	9.73211E-1	1.01181E+0	1.12142E+0	1.00084E+0	1.37999E+0	1.34127E+0	9.98103E-1	1.10463E+0	9.84043E-1	1.09048E+0	1.24027E+0	1.30062E+0	1.06797E+0	8.96689E-1	7.46496E-1	7.92631E-1	9.42616E-1	9.76171E-1
1.02689E+1	9.86940E+0	9.02354E+0	8.48492E+0	7.93884E+0	7.88539E+0	8.11674E+0	9.19339E+0	8.92030E+0	9.21223E+0	9.11387E+0	9.16811E+0	9.01584E+0	8.98215E+0	9.34714E+0	9.32805E+0	8.77603E+0	8.59812E+0	9.02166E+0	8.77773E+0	8.90812E+0	8.94145E+0	9.11614E+0	9.15311E+0	8.93751E+0	9.12731E+0	8.90849E+0	8.94039E+0	8.64896E+0	8.86359E+0	8.84146E+0	9.02022E+0	9.02722E+0	8.87999E+0	9.15999E+0	9.00589E+0	9.25217E+0	9.02332E+0	9.10304E+0	9.15965E+0	9.19244E+0	9.32127E+0	9.48367E+0	9.46355E+0	9.60339E+0	9.66027E+0	9.77313E+0	9.84894E+0	9.99572E+0	9.24232E+0	8.78882E+0	8.48723E+0	8.01942E+0	8.04773E+0	8.01946E+0	7.99885E+0	8.04564E+0	8.10255E+0	8.11109E+0	7.98755E+0	7.68664E+0	7.34718E+0	6.88371E+0	6.36159E+0	5.79933E+0	4.67213E+0	2.36330E+0	1.43145E+0	1.24166E+0	1.08408E+0	1.02382E+0	1.11060E+0	1.09147E+0	1.23984E+0	1.19040E+0	1.23243E+0	1.12598E+0	1.29023E+0	1.15731E+0	1.17873E+0	8.97226E-1	1.17694E+0	9.52708E-1	1.28676E+0	9.73118E-1	1.05922E+0	1.12040E+0	9.82915E-1	9.67036E-1	9.51309E-1	8.26517E-1	1.04507E+0	1.17286E+0	9.33811E-1	1.00792E+0	1.28749E+0	1.14228E+0	7.95361E-1	8.50847E-1	6.30192E-1
1.01293E+1	9.93316E+0	9.28088E+0	8.59129E+0	7.95394E+0	7.87736E+0	8.18180E+0	9.02722E+0	9.06621E+0	9.14045E+0	9.34649E+0	9.48873E+0	9.26817E+0	9.05392E+0	9.18468E+0	9.24804E+0	9.21045E+0	9.06138E+0	9.18932E+0	9.29942E+0	9.11778E+0	9.22992E+0	9.21323E+0	8.89011E+0	8.90356E+0	8.72650E+0	8.89827E+0	8.83220E+0	8.79565E+0	9.04600E+0	9.05459E+0	8.95343E+0	8.95439E+0	8.99159E+0	9.11443E+0	8.88747E+0	9.17505E+0	9.11701E+0	9.28070E+0	9.34963E+0	9.41977E+0	9.48568E+0	9.44868E+0	9.60086E+0	9.75099E+0	9.74594E+0	9.83665E+0	9.98627E+0	9.95231E+0	9.29402E+0	8.89490E+0	8.39845E+0	8.15732E+0	8.05385E+0	7.96581E+0	7.93582E+0	7.78223E+0	7.99328E+0	8.08918E+0	7.97737E+0	7.62961E+0	7.29998E+0	6.94471E+0	6.28047E+0	5.60794E+0	4.67441E+0	2.27867E+0	1.39002E+0	1.28352E+0	1.21030E+0	1.19000E+0	1.15895E+0	1.12784E+0	1.10645E+0	9.91205E-1	1.03498E+0	1.17998E+0	1.23796E+0	1.08527E+0	1.20842E+0	1.11146E+0	1.21772E+0	1.44195E+0	1.16560E+0	1.31096E+0	1.05611E+0	1.17940E+0	1.12155E+0	1.34685E+0	1.24305E+0	9.93025E-1	1.16656E+0	1.04762E+0	1.29997E+0	1.10031E+0	1.23035E+0	1.08203E+0	1.14909E+0	1.06090E+0	1.21195E+0
1.01115E+1	1.00509E+1	9.29246E+0	8.02359E+0	8.10058E+0	7.81702E+0	8.04184E+0	8.90908E+0	9.14088E+0	9.16971E+0	9.46782E+0	9.57562E+0	9.05318E+0	9.45433E+0	9.11572E+0	9.37322E+0	8.91126E+0	9.18921E+0	9.05606E+0	8.95524E+0	8.96551E+0	8.75529E+0	9.24377E+0	9.18177E+0	8.95827E+0	8.96094E+0	9.06362E+0	9.03457E+0	9.01458E+0	9.06820E+0	9.02787E+0	8.93314E+0	9.02029E+0	8.92769E+0	9.03429E+0	9.06392E+0	9.11608E+0	9.08198E+0	9.18405E+0	9.11419E+0	9.37490E+0	9.43076E+0	9.44738E+0	9.52946E+0	9.64922E+0	9.78696E+0	9.75304E+0	9.92485E+0	9.92811E+0	9.17941E+0	8.66254E+0	8.27811E+0	8.05676E+0	7.96987E+0	7.85369E+0	7.91201E+0	7.93204E+0	7.99334E+0	7.98580E+0	7.65110E+0	7.49998E+0	7.21186E+0	6.76463E+0	6.27291E+0	5.46909E+0	4.41322E+0	2.24764E+0	1.57858E+0	1.21800E+0	1.25535E+0	1.17941E+0	1.15926E+0	1.12254E+0	1.25711E+0	1.35572E+0	1.05182E+0	1.20628E+0	1.18510E+0	1.02161E+0	1.10753E+0	9.70934E-1	1.23406E+0	1.35277E+0	1.05846E+0	1.17968E+0	1.22637E+0	1.22762E+0	1.44248E+0	1.12686E+0	1.11148E+0	1.16797E+0	1.25109E+0	1.14970E+0	9.84292E-1	9.82133E-1	1.24501E+0	1.32453E+0	1.20557E+0	1.30345E+0	1.14202E+0
1.03424E+1	9.83237E+0	9.50324E+0	8.52847E+0	8.41400E+0	7.99605E+0	8.43230E+0	9.13906E+0	9.30873E+0	9.33913E+0	9.51707E+0	9.38728E+0	9.29267E+0	9.29478E+0	9.20388E+0	9.23611E+0	9.06912E+0	9.13644E+0	8.86542E+0	8.90916E+0	9.05284E+0	8.93946E+0	8.96759E+0	8.99229E+0	9.04578E+0	8.83189E+0	9.01599E+0	9.03596E+0	9.06854E+0	9.02397E+0	9.10672E+0	9.02703E+0	9.14116E+0	9.03777E+0	9.22866E+0	9.13675E+0	3.55931E+0	5.07294E+0	-7.05729E-1	9.29428E+0	9.48433E+0	9.50652E+0	9.54733E+0	1.30732E+1	9.74818E+0	9.29534E+0	9.90164E+0	9.99618E+0	9.97185E+0	9.27509E+0	8.75807E+0	8.39029E+0	8.17284E+0	8.04671E+0	7.66405E+0	7.40508E+0	7.63728E+0	6.46162E+0	8.14097E+0	7.99616E+0	6.48791E+0	6.16022E+0	7.91044E+0	5.73485E+0	5.72564E+0	-3.72252E+0	2.63690E+0	2.67421E+0	3.12445E+0	1.20069E+0	1.08835E+1	1.04740E+0	1.18839E+0	3.77500E+0	6.16357E+0	7.69332E-1	-1.18615E+0	1.28415E+0	8.85070E-1	1.34048E+1	7.44611E+0	1.74075E+0	7.60983E+0	1.42695E+0	4.32068E+0	7.08269E-1	-6.38324E+0	-2.30065E-1	1.15692E+0	1.59275E+0	8.89040E-1	1.29254E+0	1.39773E+0	1.24420E+0	1.31319E+0	1.30233E+0	9.13132E-1	1.22652E+0	1.36717E+0	1.43733E+0
1.02114E+1	1.00738E+1	9.42313E+0	8.25975E+0	7.77479E+0	8.10552E+0	8.66774E+0	8.99367E+0	9.20783E+0	9.44358E+0	9.59300E+0	9.61143E+0	9.42168E+0	9.28426E+0	9.39813E+0	9.35327E+0	9.07577E+0	9.22386E+0	9.33999E+0	9.21836E+0	9.21616E+0	9.15596E+0	9.01698E+0	8.95479E+0	8.66114E+0	8.93400E+0	8.95578E+0	9.08328E+0	9.08906E+0	8.95742E+0	8.96594E+0	9.03113E+0	9.05151E+0	9.19233E+0	9.03340E+0	9.17113E+0	9.12474E+0	9.20146E+0	9.25620E+0	9.33686E+0	9.30041E+0	9.45826E+0	9.51452E+0	9.47098E+0	9.71094E+0	9.88980E+0	9.87205E+0	9.93468E+0	1.00339E+1	9.21167E+0	8.69827E+0	8.27073E+0	8.15448E+0	8.10141E+0	7.98887E+0	7.90989E+0	7.91714E+0	7.87875E+0	8.00460E+0	7.92918E+0	7.67634E+0	7.32282E+0	6.81495E+0	6.27385E+0	5.61831E+0	4.27893E+0	1.97268E+0	1.40335E+0	1.20916E+0	1.00938E+0	1.12157E+0	1.03408E+0	1.09156E+0	1.00921E+0	1.18873E+0	1.07974E+0	1.28095E+0	1.30133E+0	1.26253E+0	1.22274E+0	1.31175E+0	1.23294E+0	1.30965E+0	1.21458E+0	1.35266E+0	1.29899E+0	1.46208E+0	1.62416E+0	1.34202E+0	1.33933E+0	-6.30618E+0	5.15960E+0	1.21544E+1	1.30971E+0	1.06119E+0	1.30348E+0	1.34943E+0	4.00331E-1	1.24357E+0	1.20546E+0
