205016	205073	205130	205187	205244	205300	205357	205414	205471	205528	205585	205642	205699	205756	205812	205869	205926	205983	206040	206097	206154	206211	206268	206324	206381	206438	206495	206552	206609	206666	206723	206780	206836	206893	206950	207007	207064	207121	207178	207235	207292	207348	207405	207462	207519	207576	207633	207690	207747	207804	207860	207917	207974	208031	208088	208145	208202	208259	208316	208372	208429	208486	208543	208600	208657	208714	208771	208828	208884	208941	208998	209055	209112	209169	209226	209283	209340	209396	209453	209510	209567	209624	209681	209738	209795	209852	209908	209965	210022	210079	210136	210193	210250	210307	210364	210420	210477	210534	210591	210648

-------------------------------------------------------------------
1.11679E+1	9.57652E+0	9.44007E+0	1.02896E+1	8.87154E+0	6.44852E+0	7.20348E+0	8.50504E+0	9.38885E+0	8.56654E+0	8.02622E+0	8.75702E+0	1.00727E+1	9.02142E+0	8.78068E+0	8.76241E+0	9.20940E+0	9.46886E+0	8.38066E+0	8.33044E+0	8.09357E+0	8.17966E+0	8.02411E+0	8.02256E+0	7.79927E+0	7.98974E+0	8.72812E+0	9.39848E+0	7.23902E+0	8.79404E+0	8.61500E+0	7.82787E+0	8.09987E+0	8.89308E+0	8.13648E+0	7.96281E+0	7.97220E+0	8.89961E+0	8.58457E+0	7.95476E+0	8.42390E+0	8.79211E+0	8.51809E+0	8.10100E+0	8.58824E+0	8.88297E+0	8.38207E+0	8.97986E+0	8.47776E+0	8.86988E+0	7.63594E+0	7.29895E+0	6.99076E+0	6.74769E+0	6.28164E+0	6.47271E+0	6.76463E+0	6.95552E+0	7.00045E+0	6.94328E+0	7.01674E+0	6.78702E+0	6.08975E+0	6.03244E+0	5.85747E+0	4.61535E+0	4.50769E+0	1.65638E+0	6.20799E-1	1.00584E+0	4.24703E-1	3.21368E-1	1.01741E+0	3.09304E-1	-5.41261E-1	1.06915E+0	-2.10654E-2	-2.95463E-1	2.28865E-1	1.21421E+0	-2.12732E-2	-2.89145E-1	-4.73297E-1	3.81878E-1	8.34837E-1	1.08761E+0	1.10365E+0	6.86691E-1	1.55176E-1	1.62730E-3	5.20825E-2	1.48898E-3	1.13157E+0	1.45348E+0	3.00185E-1	-1.28515E+0	3.58552E-1	3.06288E-1	6.19852E-1	-5.72017E-1
1.01416E+1	9.29518E+0	1.06197E+1	1.05343E+1	7.69269E+0	7.05029E+0	8.31989E+0	6.74128E+0	8.75036E+0	7.77385E+0	9.52845E+0	9.39870E+0	8.22974E+0	9.99911E+0	8.90231E+0	7.53479E+0	9.20939E+0	8.98763E+0	6.10226E-1	1.05157E+1	1.03705E+1	8.60530E+0	9.14965E+0	8.61562E+0	8.31948E+0	5.52552E+0	1.28324E+0	8.90023E+0	8.32029E+0	7.77670E+0	8.64978E+0	5.41691E+0	5.94439E+0	7.84850E+0	8.64606E+0	7.81927E+0	8.90053E+0	3.59219E+0	8.63448E+0	8.13522E+0	8.33483E+0	8.71243E+0	3.91544E+0	6.33085E+0	1.01649E+1	9.78554E+0	8.77770E+0	1.00881E+1	9.09112E+0	1.13040E+1	1.09275E+1	7.48879E+0	7.35200E+0	8.58700E+0	6.91541E+0	7.04865E+0	7.32754E+0	7.43829E+0	7.37230E+0	6.64499E+0	7.13877E+0	6.87909E+0	6.70055E+0	6.65513E+0	8.88599E+0	4.92771E+0	4.15072E+0	2.14655E+0	7.81002E-1	7.59390E-1	8.47521E-1	5.03315E-1	2.02005E-1	-2.27124E-1	5.25816E-2	6.84551E-1	6.02399E-1	1.15401E+0	7.17335E-2	-1.68105E-1	4.92629E-1	8.57008E-1	8.27050E-1	7.71980E-1	1.60499E-1	-4.43291E-2	7.13146E-1	5.08461E-1	1.20690E+0	8.02909E-1	9.70703E-1	9.49965E-1	1.19837E+0	1.00359E+0	5.94329E-1	1.32644E+0	6.56489E-1	7.59050E-1	9.60225E+0	1.09921E+0
1.01204E+1	1.05227E+1	1.01900E+1	3.26948E+0	9.63258E+0	7.90617E+0	6.54475E+0	7.82223E+0	8.53615E+0	9.10906E+0	9.28130E+0	9.34779E+0	-2.80726E+0	1.92724E+0	8.42582E+0	8.76935E+0	9.64881E-1	9.58595E+0	2.27300E+1	2.47228E+0	8.21808E+0	8.30158E+0	8.66420E+0	8.53137E+0	8.67811E+0	8.35669E+0	8.44836E+0	2.02567E+1	8.77424E+0	8.45343E+0	8.71280E+0	8.64049E+0	8.53913E+0	8.52035E+0	8.33815E+0	8.50416E+0	8.63529E+0	8.68504E+0	8.65827E+0	8.46155E+0	8.50209E+0	8.55420E+0	8.76573E+0	8.69256E+0	8.65411E+0	8.80578E+0	9.04626E+0	9.04001E+0	9.28049E+0	8.78455E+0	8.38769E+0	7.95513E+0	7.73397E+0	7.42349E+0	7.36265E+0	7.60063E+0	7.68398E+0	7.52560E+0	7.57530E+0	7.39375E+0	7.19344E+0	6.96519E+0	6.46301E+0	6.04202E+0	5.84147E+0	5.17867E+0	3.97086E+0	1.94088E+0	1.07239E+0	9.33109E-1	5.84867E-1	4.51192E-1	6.47529E-1	2.67318E-1	3.50480E-1	5.92511E-1	6.38344E-1	-1.80952E+1	-1.08987E+1	1.57650E+0	4.49898E-1	-4.67298E+0	8.71544E+0	6.71187E-1	3.55539E-1	6.09520E-2	1.62575E+1	-7.24239E+0	6.03074E+0	5.44602E-1	5.65202E-1	8.26425E-1	7.61345E-1	2.01123E-1	1.00998E+0	-2.63736E-1	-7.77379E+0	2.08099E+0	-1.00512E+1	3.28161E+0
1.04655E+1	1.84102E+1	1.02714E+1	2.22969E+0	7.91852E+0	3.62058E+0	1.27215E+1	7.52084E+0	8.13535E+0	8.62087E+0	8.91965E+0	8.71788E+0	8.78144E+0	8.64054E+0	8.62471E+0	8.32136E+0	8.49474E+0	1.70588E+1	1.31495E+1	7.97409E+0	8.39730E+0	8.62832E+0	9.53608E+0	8.43361E+0	1.02664E+1	1.15231E+1	8.29561E+0	9.05030E+0	1.04323E+1	7.42359E+0	8.77424E+0	8.83402E+0	8.54669E+0	8.56112E+0	8.62633E+0	8.68727E+0	8.60466E+0	8.31200E+0	8.37757E+0	8.71079E+0	8.70980E+0	7.84720E+0	8.67214E+0	8.43474E+0	8.39446E+0	8.75667E+0	8.77653E+0	8.83968E+0	9.23850E+0	9.23757E+0	8.59328E+0	8.33524E+0	7.83065E+0	7.73136E+0	7.57436E+0	7.84965E+0	7.81761E+0	7.81890E+0	7.66306E+0	7.47572E+0	7.11605E+0	6.97780E+0	6.69758E+0	6.16342E+0	5.85063E+0	5.15091E+0	4.11843E+0	1.63937E+0	6.84853E-1	8.70522E-1	8.82826E-1	8.27644E-1	8.57730E-1	2.56427E-1	9.55629E-2	5.82009E-1	6.79415E-1	3.57666E-1	5.97665E-1	-4.77686E-2	7.03957E+0	-9.31974E-1	-3.15719E-1	3.33349E-1	-3.57781E-1	1.14981E+0	-1.89051E+0	-1.94122E+0	4.38084E+0	2.89999E+0	9.69345E-1	-8.55744E-1	-1.02711E+0	-2.60761E+0	7.21110E-1	1.44881E+0	3.88110E-1	-8.02288E-1	1.02653E+0	2.28309E-1
9.95509E+0	1.04653E+1	3.01225E+0	9.69070E+0	8.47187E+0	6.22712E+0	7.89696E+0	7.86375E+0	7.10494E+0	8.95278E+0	8.72736E+0	7.68107E+0	8.86642E+0	8.99614E+0	8.38949E+0	9.78031E+0	7.88301E+0	1.07749E+1	9.51300E+0	1.40276E+1	1.36248E+1	9.29278E+0	7.63789E+0	9.40514E+0	6.95739E+0	5.86473E+0	7.84531E+0	9.04258E+0	8.07825E+0	8.17442E+0	8.90079E+0	8.15573E+0	8.11668E+0	8.56614E+0	8.56678E+0	8.60284E+0	8.39408E+0	8.68135E+0	8.81802E+0	8.95309E+0	8.74778E+0	8.87860E+0	8.80004E+0	8.85315E+0	8.77948E+0	8.98130E+0	9.27933E+0	9.25373E+0	9.36035E+0	9.18368E+0	8.51975E+0	8.09372E+0	7.88344E+0	7.72814E+0	7.79737E+0	7.75784E+0	7.78517E+0	7.74550E+0	7.51817E+0	7.46737E+0	7.15456E+0	6.81719E+0	6.55518E+0	6.13029E+0	5.70225E+0	5.00444E+0	3.83019E+0	1.76614E+0	4.17827E-1	6.72250E-1	5.60550E-1	7.16742E-1	3.71818E-1	4.06413E-1	5.95256E-1	8.70350E-1	5.73463E-1	5.52306E-1	6.14909E-1	1.07521E+0	1.02695E+0	6.24759E-1	8.85296E-1	1.04938E+0	1.12846E+0	8.61012E-1	5.08308E-1	5.93421E-1	1.11021E+0	9.73086E-1	1.09641E+0	9.44518E-1	1.00711E+0	5.47622E-1	9.75829E-2	-1.15537E+0	1.05216E+0	1.11507E+0	8.72024E-1	4.54563E-1
1.02715E+1	1.03662E+1	1.00806E+1	9.14467E+0	7.72712E+0	7.45280E+0	7.87701E+0	7.74954E+0	8.55344E+0	8.90586E+0	9.03911E+0	8.57263E+0	8.93372E+0	8.72800E+0	8.41670E+0	8.58016E+0	8.82126E+0	8.25467E+0	8.29760E+0	8.67394E+0	8.59018E+0	8.36478E+0	8.58302E+0	8.93414E+0	8.34414E+0	8.85093E+0	8.74047E+0	8.50557E+0	8.56406E+0	7.90036E+0	7.94910E+0	8.31965E+0	8.58044E+0	8.26853E+0	8.40353E+0	8.85243E+0	8.57744E+0	8.22611E+0	8.78176E+0	9.17425E+0	8.58187E+0	8.82961E+0	8.84416E+0	8.87546E+0	8.92273E+0	9.24058E+0	9.12491E+0	9.29775E+0	9.41886E+0	9.59669E+0	8.79141E+0	8.26711E+0	8.19445E+0	7.94946E+0	8.03923E+0	8.07435E+0	8.01435E+0	8.01352E+0	7.75073E+0	7.63528E+0	7.42168E+0	6.96223E+0	6.74300E+0	6.28785E+0	5.74473E+0	5.03622E+0	4.23086E+0	1.93855E+0	9.69651E-1	8.64748E-1	6.45767E-1	6.34642E-1	5.09080E-1	4.86210E-1	6.56601E-1	1.03249E+0	3.57954E-1	7.01653E-1	5.08798E-1	5.42014E-1	2.50321E-1	7.04989E-1	-3.57297E-1	2.34762E+0	-1.35499E+1	1.70871E+0	5.92560E-1	1.81167E-1	2.20305E-1	6.50850E-1	1.34725E+0	2.37421E-1	2.29938E+1	4.85437E-1	2.80897E-1	1.72809E-1	5.39088E-1	8.69839E-1	8.01121E-1	3.20096E-1
1.02322E+1	1.71771E+1	-7.48065E+0	9.16449E+0	4.20621E+1	-1.91748E+1	1.17453E+1	3.24845E-1	1.91958E+0	8.80508E+0	9.17381E+0	9.30368E+0	2.13185E+1	6.87888E+0	8.90565E+0	9.20715E+0	8.90463E+0	3.49290E+1	8.26995E+0	8.57380E+0	1.14533E+0	1.77560E+1	9.01662E+0	9.00421E+0	-1.08016E+1	8.87386E+0	2.40719E+1	1.73770E+0	6.86652E+0	2.41121E+1	8.32245E+0	-3.78093E+0	9.09798E+0	1.39024E+1	1.05706E+0	8.68499E+0	5.45817E+0	8.91212E+0	8.43385E+0	8.57161E+0	8.99573E+0	8.70672E+0	8.79278E+0	8.89632E+0	8.96537E+0	9.21406E+0	9.24517E+0	9.30274E+0	9.49483E+0	9.50859E+0	8.78471E+0	8.42552E+0	8.16757E+0	8.03399E+0	8.06254E+0	8.04837E+0	7.97230E+0	7.85512E+0	7.74567E+0	7.45635E+0	7.29029E+0	7.05958E+0	6.64698E+0	6.10774E+0	5.64343E+0	4.97686E+0	3.98994E+0	1.66794E+0	8.06812E-1	6.93696E-1	6.57030E-1	6.59730E-1	6.10208E-1	8.67109E-1	7.90527E-1	8.68476E-1	8.79070E-1	7.97076E-1	8.80677E-1	8.00968E-1	7.62015E-1	8.69163E-1	9.19881E-1	2.71311E+0	-1.52054E+1	4.09006E+1	1.46212E+0	7.61458E-1	8.15128E-1	2.70071E-1	9.29072E-1	5.85670E-1	-6.05322E+0	2.61462E+0	5.37271E-1	1.25980E-1	-1.48688E-1	-3.75400E+0	1.19696E+0	4.85371E-1
1.04679E+1	1.07739E+1	-1.86315E+1	9.13573E+0	6.13352E+0	-3.17738E+1	1.79247E+1	5.13017E+0	4.77380E+1	8.98831E+0	-1.06740E+1	1.02706E+1	2.40022E+1	1.95963E+1	8.74443E+0	3.68537E+1	9.18508E+0	-1.14000E+1	9.92156E-1	1.09107E+1	1.09307E+1	8.27450E+0	2.77175E+1	9.87951E+0	8.70550E+0	7.13323E+0	2.34200E+1	8.71157E+0	5.84588E+0	-1.50318E+1	8.13106E+0	1.18182E+1	1.49069E+1	8.79309E+0	-1.53387E+1	8.04424E+0	-3.94666E+0	3.06843E+0	8.88488E+0	8.79796E+0	8.82076E+0	9.11814E+0	8.97448E+0	9.12698E+0	9.23322E+0	9.31003E+0	9.45328E+0	9.47252E+0	9.52075E+0	9.45226E+0	9.00125E+0	8.46707E+0	8.31039E+0	8.11585E+0	8.13232E+0	8.10590E+0	7.99963E+0	7.95656E+0	7.73244E+0	7.68508E+0	7.36985E+0	7.08826E+0	6.69879E+0	6.15842E+0	5.77667E+0	5.19375E+0	4.07385E+0	1.93818E+0	9.48266E-1	5.04302E-1	6.38000E-1	5.34193E-1	5.79470E-1	7.01614E-1	4.37982E-1	7.16938E-1	3.56508E-1	6.69732E-1	8.19474E-1	6.43901E-1	6.14418E-1	7.71125E-1	8.10252E-1	8.53208E-1	7.58936E-1	7.59898E-1	5.91435E-1	3.81528E-1	6.65741E-1	9.15138E-1	7.97440E-1	7.60358E-1	7.59558E-1	4.50243E-1	5.12216E-1	6.07801E-1	4.77870E-1	5.95012E-1	6.10673E-1	7.46133E-1
9.99966E+0	1.02337E+1	9.89747E+0	9.19301E+0	7.99363E+0	7.61135E+0	7.87962E+0	8.14036E+0	8.54436E+0	8.58692E+0	8.87114E+0	9.13640E+0	9.11213E+0	8.85372E+0	8.94181E+0	8.84915E+0	9.08144E+0	8.63282E+0	8.72694E+0	8.76294E+0	8.93626E+0	8.80045E+0	8.52486E+0	8.60159E+0	8.64414E+0	8.68659E+0	8.65538E+0	8.67036E+0	8.50438E+0	8.50682E+0	8.32727E+0	8.47519E+0	8.69815E+0	8.39181E+0	8.63142E+0	8.59679E+0	8.68768E+0	8.90154E+0	8.76765E+0	8.87888E+0	8.92568E+0	8.95089E+0	8.97754E+0	9.15665E+0	9.17889E+0	9.16902E+0	9.41246E+0	9.47680E+0	9.58292E+0	9.61759E+0	8.88225E+0	8.48545E+0	8.31530E+0	8.08854E+0	8.14148E+0	8.06252E+0	7.97621E+0	7.85421E+0	7.67761E+0	7.46105E+0	7.30928E+0	7.01951E+0	6.67645E+0	6.16964E+0	5.51827E+0	4.90164E+0	3.79880E+0	1.65796E+0	8.17181E-1	6.87510E-1	6.75765E-1	5.41727E-1	4.49641E-1	6.49205E-1	4.25209E-1	3.52388E-1	6.64658E-1	5.73403E-1	5.51683E-1	4.78656E-1	5.98805E-1	8.13311E-1	7.59387E-1	7.42580E-1	9.94075E-1	1.32139E+0	8.54993E-1	8.69257E-1	7.95280E-1	8.19009E-1	1.04927E+0	9.43924E-1	6.84163E-1	8.71230E-1	7.63266E-1	3.87070E-1	6.31651E-1	1.02537E+0	9.38358E-1	1.02335E+0
1.06036E+1	1.04541E+1	9.97014E+0	9.76720E+0	8.21325E+0	7.38502E+0	7.31059E+0	8.12377E+0	8.89588E+0	8.91676E+0	8.83094E+0	9.26791E+0	8.83277E+0	9.16232E+0	8.94178E+0	8.96266E+0	8.73365E+0	8.58201E+0	8.76878E+0	8.64318E+0	8.51720E+0	8.63197E+0	8.76957E+0	8.64154E+0	8.62977E+0	8.44238E+0	8.51475E+0	8.70076E+0	8.31892E+0	8.65525E+0	8.59756E+0	8.63749E+0	8.47332E+0	8.46894E+0	8.62056E+0	8.63893E+0	8.79356E+0	8.44412E+0	8.80217E+0	8.61237E+0	8.86546E+0	8.95005E+0	9.12380E+0	8.95384E+0	9.25034E+0	9.29069E+0	9.35509E+0	9.51711E+0	9.51098E+0	9.47423E+0	8.80160E+0	8.36376E+0	7.77545E+0	7.87813E+0	7.90462E+0	7.89099E+0	7.84293E+0	7.68452E+0	7.60086E+0	7.45043E+0	7.29133E+0	7.01688E+0	6.54225E+0	6.11412E+0	5.60236E+0	4.85507E+0	3.69891E+0	1.74182E+0	8.22486E-1	5.25230E-1	5.34840E-1	6.47233E-1	7.74998E-1	7.10882E-1	6.10994E-1	6.17001E-1	7.39591E-1	7.50945E-1	6.92434E-1	7.26204E-1	6.62513E-1	8.29357E-1	7.55874E-1	5.96929E-1	8.02421E-1	5.10845E-1	1.03541E+0	6.22455E-1	6.30441E-1	7.80186E-1	8.05727E-1	8.05004E-1	6.87576E-1	6.95053E-1	7.62763E-1	2.79053E-2	5.48862E-1	9.58729E-1	2.33398E-1	6.94917E-1
